0;12;15;18;37;41;45;47;51;55;65;70;72;73;75;77;82;87;88;89;92;97;101;102;106;111
Learning Data Analytics: 1 Foundations;Course;Popular;;;Show more options for Learning Data Analytics: 1 Foundations;;;Save;;;3h 29m;;;;Beginner;Updated Dec 2023;;;;;LinkedIn;;;By: Robin Hunt;
Become a Data Analyst;Learning Path;;;Show more options for Become a Data Analyst;;;Save;;;44h;;;Updated 3 weeks ago;;;;;LinkedIn;;;;;;;
Advance Your Python in Excel Skills;Learning Path;;;Show more options for Advance Your Python in Excel Skills;;;Save;;;9h 5m;;;Updated 4 days ago;;;;;LinkedIn;;;;;;;
Basics of Data Visualization Analysis;Course;Popular;;;Show more options for Basics of Data Visualization Analysis;;;Save;;;1h 27m;;;;Beginner;Jan 2024;;;;;LinkedIn;;;By: Franz Buscha and Madecraft;
Learning Excel: Data Analysis;Course;Popular;;;Show more options for Learning Excel: Data Analysis;;;Save;;;3h 16m;;;;Intermediate;Sep 2022;;;;;LinkedIn;;;By: Curt Frye;
Command Line Data Analysis;Course;;;Show more options for Command Line Data Analysis;;;Save;;;58m;;Advanced;;;Apr 2023;;;;;LinkedIn;;By: Miki Tebeka;;;
Excel: Managing and Analyzing Data;Course;Popular;;;Show more options for Excel: Managing and Analyzing Data;;;Save;;;3h 44m;;;;Intermediate;Sep 2022;;;;;LinkedIn;;;By: Oz du Soleil;
Tableau Certified Data Analyst Cert Prep;Course;Popular;;;Show more options for Tableau Certified Data Analyst Cert Prep;;;Save;;;6h 34m;;;;Advanced;1 month ago;;;;;LinkedIn;;;By: Heidi Kalbe;
SQL for Data Analysis;Course;Popular;;;Show more options for SQL for Data Analysis;;;Save;;;1h 10m;;;;Intermediate;Jul 2023;;;;;LinkedIn;;;By: Nikiya Simpson;
Excel and ChatGPT: Data Analysis Power Tips;Course;Popular;;;Show more options for Excel and ChatGPT: Data Analysis Power Tips;;;Save;;;1h 41m;;;;Beginner + Intermediate;Oct 2023;;;;;LinkedIn;;;By: Chris Dutton;
Python Data Analysis;Course;Popular;;;Show more options for Python Data Analysis;;;Save;;;2h 30m;;;;Intermediate;Mar 2020;;;;;LinkedIn;;;By: Michele Vallisneri;
Data Visualization for Data Analysis and Analytics (2020);Course;Popular;;;Show more options for Data Visualization for Data Analysis and Analytics (2020);;;Save;;;1h 40m;;;;Intermediate;Jun 2020;;;;;LinkedIn;;;By: Bill Shander;
Advanced Python in Excel: Data Analysis and Visualization;Course;;;Show more options for Advanced Python in Excel: Data Analysis and Visualization;;;Save;;;46m;;Advanced;;;1 month ago;;;;;LinkedIn;;By: Sarah Om;;;
Complete Guide to Power BI for Data Analysts by Microsoft Press;Course;Popular;;;Show more options for Complete Guide to Power BI for Data Analysts by Microsoft Press;;;Save;;;7h 14m;;;;Beginner + Intermediate;Feb 2024;;;;;LinkedIn;;;By: Microsoft Press and Chris Sorensen;
The Data Skills Survival Kit;Course;Updated;Popular;;;Show more options for The Data Skills Survival Kit;;;Save;;;;;7h 25m;;Intermediate;Updated 4 days ago;;;;;;LinkedIn;;By: Robin Hunt
Data Analytics for Business Professionals;Course;Popular;;;Show more options for Data Analytics for Business Professionals;;;Save;;;1h 16m;;;;Intermediate;Jun 2022;;;;;LinkedIn;;;By: John Johnson;
Tableau 2024.1: Essential Training;Course;Popular;;;Show more options for Tableau 2024.1: Essential Training;;;Save;;;4h 41m;;;;Intermediate;4 months ago;;;;;LinkedIn;;;By: Curt Frye;
SQL for Exploratory Data Analysis Essential Training;Course;;;Show more options for SQL for Exploratory Data Analysis Essential Training;;;Save;;;44m;;Beginner;;;Jun 2018;;;;;LinkedIn;;By: Dan Sullivan;;;
Python in Excel: Getting Started with Data Analysis;Course;Popular;;;Show more options for Python in Excel: Getting Started with Data Analysis;;;Save;;;1h 40m;;;;Intermediate;Mar 2024;;;;;LinkedIn;;;By: Joe Marini;
Panel Data Analysis Essential Training;Course;;;Show more options for Panel Data Analysis Essential Training;;;Save;;;1h 36m;;Advanced;;;Mar 2023;;;;;LinkedIn;;By: Franz Buscha;;;
Learning Power BI Desktop;Course;Popular;;;Show more options for Learning Power BI Desktop;;;Save;;;2h 54m;;;;Beginner;Apr 2022;;;;;LinkedIn;;;By: Gini von Courter;
