0;12;15;37;41;47;51;65;70;72;73;77;82;88;89;92;97;101;106
VMware vSphere 8 Certified Technical Associate - Data Center Virtualization (VCTA-DCV) (1V0-21.20) Cert Prep;Course;;Show more options for VMware vSphere 8 Certified Technical Associate - Data Center Virtualization (VCTA-DCV) (1V0-21.20) Cert Prep;;Save;;12h;;Beginner;;Mar 2024;;;;LinkedIn;;By: Rick Crisci;
Architecting Big Data Applications: Batch Mode Application Engineering;Course;;Show more options for Architecting Big Data Applications: Batch Mode Application Engineering;;Save;;1h 28m;;Advanced;;Oct 2023;;;;LinkedIn;;By: Kumaran Ponnambalam;
HashiCorp Certified: Terraform Associate (003) Cert Prep by KodeKloud;Course;;Show more options for HashiCorp Certified: Terraform Associate (003) Cert Prep by KodeKloud;;Save;;3h 10m;;Intermediate;;3 months ago;;;;LinkedIn;;By: Vijin Palazhi and KodeKloud;
VMware vSphere 8 Certified Professional - Data Center Virtualization (VCP-DCV) (2V0-21.23) Cert Prep;Course;;Show more options for VMware vSphere 8 Certified Professional - Data Center Virtualization (VCP-DCV) (2V0-21.23) Cert Prep;;Save;;13h;;Intermediate;;Mar 2024;;;;LinkedIn;;By: Rick Crisci;
Learning Terraform;Course;Popular;;Show more options for Learning Terraform;;Save;;2h 7m;;;Beginner;Updated Oct 2023;;;;LinkedIn;;By: Josh Samuelson
Hashicorp Certified Terraform Associate (003) Cert Prep;Course;;Show more options for Hashicorp Certified Terraform Associate (003) Cert Prep;;Save;;4h 34m;;Intermediate;;Apr 2024;;;;LinkedIn;;By: Helen Chukwukelu;
Advanced Terraform;Course;;Show more options for Advanced Terraform;;Save;;2h 25m;;Advanced;;Jan 2023;;;;LinkedIn;;By: Dave Swersky;
Introduction to Terraform on Azure;Course;;Show more options for Introduction to Terraform on Azure;;Save;;50m;;Intermediate;;May 2022;;;;LinkedIn;;By: Alexandra Illarionov;
Introduction to Terraform on Google Cloud Platform;Course;;Show more options for Introduction to Terraform on Google Cloud Platform;;Save;;1h 36m;;Intermediate;;Feb 2024;;;;LinkedIn;;By: Josh Samuelson;
Network Automation Professional Certificate by Arista Networks;Professional Certificate;;Show more options for Network Automation Professional Certificate by Arista Networks;;Save;;9h 29m;;;Updated 4 months ago;;;;Provided by Arista Networks and LinkedIn;;;;
Azure Developer Associate (AZ-204) Cert Prep: Implementing VMs and Batch Jobs;Course;;Show more options for Azure Developer Associate (AZ-204) Cert Prep: Implementing VMs and Batch Jobs;;Save;;1h 9m;;Intermediate;;May 2019;;;;LinkedIn;;By: Tiberiu Covaci;
Creating a Dev Environment in AWS with Terraform;Course;;Show more options for Creating a Dev Environment in AWS with Terraform;;Save;;55m;;Intermediate;;Oct 2021;;;;LinkedIn;;By: Philip Afable and CloudSkills.io;
Kubernetes: Provisioning with Terraform and Kubespray;Course;;Show more options for Kubernetes: Provisioning with Terraform and Kubespray;;Save;;1h 34m;;Intermediate;;Sep 2023;;;;LinkedIn;;By: Carlos Nunez;
DevOps for Databases in Azure with MySQL and Terraform;Course;;Show more options for DevOps for Databases in Azure with MySQL and Terraform;;Save;;26m;;Intermediate;;Oct 2021;;;;LinkedIn;;By: Michael Levan and CloudSkills.io;
Deploying Enterprise Azure Secure Landing Zones with Terraform;Course;;Show more options for Deploying Enterprise Azure Secure Landing Zones with Terraform;;Save;;1h 12m;;Intermediate;;Jan 2023;;;;LinkedIn;;By: Alexandra Illarionov;
Kubernetes: Provisioning with Terraform and kOps;Course;;Show more options for Kubernetes: Provisioning with Terraform and kOps;;Save;;1h 22m;;Intermediate;;Sep 2023;;;;LinkedIn;;By: Carlos Nunez;
Infrastructure as Code with Terraform;Learning Path;;Show more options for Infrastructure as Code with Terraform;;Save;;6h 46m;;;Updated Oct 2023;;;LinkedIn;;;;;
Terraform: Managing Network Infrastructure;Course;;Show more options for Terraform: Managing Network Infrastructure;;Save;;1h 11m;;Intermediate;;May 2023;;;;LinkedIn;;By: William Collins;
