0;12;15;18;37;41;45;47;51;55;65;70;72;73;75;77;82;87;88;89;92;97;101;102;106;111
Data Engineering Foundations;Course;Updated;Popular;;;Show more options for Data Engineering Foundations;;;Save;;;;;1h 5m;;Beginner + Intermediate;Updated 2 months ago;;;;;;LinkedIn;;By: Harshit Tyagi
Explore a Career in Data Engineering;Learning Path;;;Show more options for Explore a Career in Data Engineering;;;Save;;;7h 5m;;;Updated 2 months ago;;;;;LinkedIn;;;;;;;
End-to-End Data Engineering Project;Course;Popular;;;Show more options for End-to-End Data Engineering Project;;;Save;;;1h 15m;;;;Intermediate;Nov 2023;;;;;LinkedIn;;;By: Thalia Barrera;
Advance Your Data Engineering Skills;Learning Path;;;Show more options for Advance Your Data Engineering Skills;;;Save;;;22h;;;Updated 6 days ago;;;;;LinkedIn;;;;;;;
Python for Data Engineering: from Beginner to Advanced;Course;Popular;;;Show more options for Python for Data Engineering: from Beginner to Advanced;;;Save;;;3h 50m;;;;Intermediate;Jan 2024;;;;;LinkedIn;;;By: Deepak Goyal;
Master Data Engineering;Learning Path;;;Show more options for Master Data Engineering;;;Save;;;23h;;;Updated 1 week ago;;;;;LinkedIn;;;;;;;
End-to-End Real-World Data Engineering Project with Databricks;Course;New;;;Show more options for End-to-End Real-World Data Engineering Project with Databricks;;;Save;;;1h 40m;;;;Intermediate;3 days ago;;;;;LinkedIn;;;By: Deepak Goyal;
Hands-On Introduction: Data Engineering;Course;Popular;;;Show more options for Hands-On Introduction: Data Engineering;;;Save;;;1h 33m;;;;Beginner;Updated 3 months ago;;;;;LinkedIn;;;By: Vinoo Ganesh;
Introduction to Data Engineering on AWS: Data Sourcing and Storage;Course;;;Show more options for Introduction to Data Engineering on AWS: Data Sourcing and Storage;;;Save;;;1h 50m;;Intermediate;;;Oct 2022;;;;;LinkedIn;;By: Dipali Kulshrestha;;;
Microsoft Azure Data Engineer Associate (DP-203) Cert Prep by Microsoft Press;Course;New;Popular;;;Show more options for Microsoft Azure Data Engineer Associate (DP-203) Cert Prep by Microsoft Press;;;Save;;;;;9h 27m;;Intermediate;2 weeks ago;;;;;;LinkedIn;;By: Microsoft Press and Tim Warner
Complete Guide to SQL for Data Engineering: from Beginner to Advanced;Course;Popular;;;Show more options for Complete Guide to SQL for Data Engineering: from Beginner to Advanced;;;Save;;;7h 11m;;;;Intermediate;4 months ago;;;;;LinkedIn;;;By: Deepak Goyal;
Complete Guide to Python for Data Engineering: From Beginner to Advanced;Course;;;Show more options for Complete Guide to Python for Data Engineering: From Beginner to Advanced;;;Save;;;5h 26m;;Advanced;;;2 months ago;;;;;LinkedIn;;By: Deepak Goyal;;;
Introduction to Analytics Engineering;Course;;;Show more options for Introduction to Analytics Engineering;;;Save;;;56m;;Beginner;;;Jun 2023;;;;;LinkedIn;;By: Amataverna Lee;;;
Data Science Foundations: Data Engineering;Course;;;Show more options for Data Science Foundations: Data Engineering;;;Save;;;53m;;Beginner + Intermediate;;;Jan 2017;;;;;LinkedIn;;By: Ben Sullins;;;
Prepare for the Azure Data Engineer Associate (DP-203) Certification;Learning Path;;;Show more options for Prepare for the Azure Data Engineer Associate (DP-203) Certification;;;Save;;;2h 51m;;;Updated Mar 2023;;;;;LinkedIn;;;;;;;
Data Engineering Foundations Professional Certificate by Astronomer;Professional Certificate;;;Show more options for Data Engineering Foundations Professional Certificate by Astronomer;;;Save;;;11h;;;Updated 1 month ago;;;;;;Provided by Astronomer and LinkedIn;;;;;;
