0;12;15;18;37;41;45;47;51;55;65;70;72;73;75;77;82;87;88;89;92;97;101;102;106;111
Learning Data Visualization;Course;Popular;;;Show more options for Learning Data Visualization;;;Save;;;1h 51m;;;;Intermediate;Oct 2022;;;;;LinkedIn;;;By: Bill Shander;
Data Visualization: Storytelling;Course;Popular;;;Show more options for Data Visualization: Storytelling;;;Save;;;1h 32m;;;;Intermediate;Updated Apr 2024;;;;;LinkedIn;;;By: Bill Shander;
Data Visualization: How to Choose the Right Graph;Course;New;Popular;;;Show more options for Data Visualization: How to Choose the Right Graph;;;Save;;;;;44m;;General;2 weeks ago;;;;;;LinkedIn;;By: Madecraft and Rebeca Pop
Data Visualization: Best Practices;Course;Popular;;;Show more options for Data Visualization: Best Practices;;;Save;;;1h 38m;;;;Beginner;Dec 2021;;;;;LinkedIn;;;By: Amy Balliett;
Excel Data Visualization: Mastering 20+ Charts and Graphs;Course;Popular;;;Show more options for Excel Data Visualization: Mastering 20+ Charts and Graphs;;;Save;;;2h 23m;;;;Intermediate;Nov 2018;;;;;LinkedIn;;;By: Chris Dutton;
Advance Your Python in Excel Skills;Learning Path;;;Show more options for Advance Your Python in Excel Skills;;;Save;;;9h 5m;;;Updated 4 days ago;;;;;LinkedIn;;;;;;;
Basics of Data Visualization Analysis;Course;Popular;;;Show more options for Basics of Data Visualization Analysis;;;Save;;;1h 27m;;;;Beginner;Jan 2024;;;;;LinkedIn;;;By: Franz Buscha and Madecraft;
Data Visualization for Data Analysis and Analytics;Course;Popular;;;Show more options for Data Visualization for Data Analysis and Analytics;;;Save;;;1h 44m;;;;Intermediate;3 months ago;;;;;LinkedIn;;;By: Bill Shander;
PowerPoint Data Visualization: High-Impact Charts and Graphs;Course;Popular;;;Show more options for PowerPoint Data Visualization: High-Impact Charts and Graphs;;;Save;;;1h 47m;;;;Intermediate;Sep 2022;;;;;LinkedIn;;;By: Echo Swinford;
Data Visualization Tips and Tricks;Course;Popular;;;Show more options for Data Visualization Tips and Tricks;;;Save;;;2h 14m;;;;Intermediate;Updated Sep 2021;;;;;LinkedIn;;;By: Matt Francis;
Data Visualizations with Plotly;Course;;;Show more options for Data Visualizations with Plotly;;;Save;;;55m;;Beginner;;;Feb 2021;;;;;LinkedIn;;By: Brett Vanderblock and Madecraft;;;
No-Code Data Analysis and Visualization with ChatGPT;Course;Popular;;;Show more options for No-Code Data Analysis and Visualization with ChatGPT;;;Save;;;36m;;;;Intermediate;1 month ago;;;;;LinkedIn;;;By: Alina Zhang;
The Data Skills Survival Kit;Course;Updated;Popular;;;Show more options for The Data Skills Survival Kit;;;Save;;;;;7h 25m;;Intermediate;Updated 4 days ago;;;;;;LinkedIn;;By: Robin Hunt
How to Create Executive-Level Data Visualizations;Course;;;Show more options for How to Create Executive-Level Data Visualizations;;;Save;;;42m;;General;;;Jul 2023;;;;;LinkedIn;;By: Madecraft and Chris Tauber;;;
Presenting Data Effectively to Inform and Inspire;Course;Popular;;;Show more options for Presenting Data Effectively to Inform and Inspire;;;Save;;;1h 37m;;;;Beginner;Nov 2021;;;;;LinkedIn;;;By: Bill Shander;
Power BI: Dashboards for Beginners;Course;Popular;;;Show more options for Power BI: Dashboards for Beginners;;;Save;;;33m;;;;Intermediate;3 months ago;;;;;LinkedIn;;;By: Joshua Rischin;
Advanced Python in Excel: Data Analysis and Visualization;Course;;;Show more options for Advanced Python in Excel: Data Analysis and Visualization;;;Save;;;46m;;Advanced;;;1 month ago;;;;;LinkedIn;;By: Sarah Om;;;
Data Visualization: A Lesson and Listen Series;Course;Updated;Popular;;;Show more options for Data Visualization: A Lesson and Listen Series;;;Save;;;;;26h;;Intermediate;Updated 3 weeks ago;;;;;;LinkedIn;;By: Bill Shander
Python for Data Visualization;Course;;;Show more options for Python for Data Visualization;;;Save;;;1h 21m;;Intermediate;;;Jan 2024;;;;;LinkedIn;;By: Madecraft and Michael Galarnyk;;;
Power BI Data Visualization and Dashboard Tips, Tricks, & Techniques;Course;Popular;;;"Show more options for Power BI Data Visualization and Dashboard Tips, Tricks, &amp;amp; Techniques";;;Save;;;1h 59m;;;;Beginner + Intermediate;Mar 2021;;;;;LinkedIn;;;By: Emma Saunders;
Data Visualization for Data Analysis and Analytics (2020);Course;Popular;;;Show more options for Data Visualization for Data Analysis and Analytics (2020);;;Save;;;1h 40m;;;;Intermediate;Jun 2020;;;;;LinkedIn;;;By: Bill Shander;
Visual Storytelling in PowerPoint;Course;Popular;;;Show more options for Visual Storytelling in PowerPoint;;;Save;;;55m;;;;Intermediate;Jan 2022;;;;;LinkedIn;;;By: Jole Simmons;
Lesson: Emotions in data visualization;Audio;;;Show more options for Lesson: Emotions in data visualization;;;Save;;;3m 24s;;;Updated 4 days ago;;;;;LinkedIn;;;From the course: Data Visualization: A Lesson and Listen Series;;;;
Data visualization guiding principles;Audio;;;Show more options for Data visualization guiding principles;;;Save;;;4m 52s;;;Updated Oct 2023;;;;;LinkedIn;;;From the course: Data Storytelling Basics;;;;
How to Use Data Visualization to Make Better Decisions—Faster;Course;;;Show more options for How to Use Data Visualization to Make Better Decisions—Faster;;;Save;;;51m;;Beginner;;;Jun 2021;;;;;LinkedIn;;By: Steve Wexler;;;
Excel: Data Storytelling for Beginners;Course;Popular;;;Show more options for Excel: Data Storytelling for Beginners;;;Save;;;34m;;;;Intermediate;Jan 2024;;;;;LinkedIn;;;By: Jordan Goldmeier;
Lesson: Data visualization at scale in industry;Audio;;;Show more options for Lesson: Data visualization at scale in industry;;;Save;;;4m 38s;;;Updated 4 days ago;;;;;LinkedIn;;;From the course: Data Visualization: A Lesson and Listen Series;;;;
Visualizing Advanced Charts and Graphs;Course;;;Show more options for Visualizing Advanced Charts and Graphs;;;Save;;;2h 12m;;Advanced;;;Oct 2023;;;;;LinkedIn;;By: Amy Balliett;;;
Everybody's Introduction to Tableau;Course;;;"Show more options for Everybody&amp;#39;s Introduction to Tableau";;;Save;;;1h 13m;;Beginner;;;4 months ago;;;;;LinkedIn;;By: Tim Ngwena;;;
Advanced Data Visualizations: 10 Uncommon Plot Types and How to Use Them;Course;;;Show more options for Advanced Data Visualizations: 10 Uncommon Plot Types and How to Use Them;;;Save;;;47m;;Advanced;;;Jan 2023;;;;;LinkedIn;;By: Franz Buscha;;;
Lesson: Building a career in data visualization;Audio;;;Show more options for Lesson: Building a career in data visualization;;;Save;;;3m 26s;;;Updated 4 days ago;;;;;LinkedIn;;;From the course: Data Visualization: A Lesson and Listen Series;;;;
Lesson: Data Visualization Research;Audio;;;Show more options for Lesson: Data Visualization Research;;;Save;;;4m 32s;;;Updated 5 days ago;;;;;LinkedIn;;;From the course: Data Visualization: A Lesson and Listen Series;;;;
Excel: Introduction to Charts and Graphs;Course;Popular;;;Show more options for Excel: Introduction to Charts and Graphs;;;Save;;;1h;;;;Beginner + Intermediate;Apr 2024;;;;;LinkedIn;;;By: Dennis Taylor;
Complete Guide to R: Wrangling, Visualizing, and Modeling Data;Course;Popular;;;Show more options for Complete Guide to R: Wrangling, Visualizing, and Modeling Data;;;Save;;;8h 15m;;;;Intermediate;Mar 2024;;;;;LinkedIn;;;By: Barton Poulson;
Data Analytics with Observable;Course;;;Show more options for Data Analytics with Observable;;;Save;;;2h 9m;;Intermediate;;;Jan 2024;;;;;LinkedIn;;By: Bill Shander;;;
Excel: Charts and Graphs In Depth;Course;;;Show more options for Excel: Charts and Graphs In Depth;;;Save;;;2h 11m;;Intermediate;;;Jan 2024;;;;;LinkedIn;;By: Jordan Goldmeier;;;
Power BI and BIM: Analysis and Visualization;Course;Popular;;;Show more options for Power BI and BIM: Analysis and Visualization;;;Save;;;2h 29m;;;;Intermediate;Nov 2020;;;;;LinkedIn;;;By: Brian Myers;
Storytelling for Data and Design;Course;;;Show more options for Storytelling for Data and Design;;;Save;;;58m;;Intermediate;;;Aug 2022;;;;;LinkedIn;;By: Lachezar Arabadzhiev;;;
Become a Data Analyst;Learning Path;;;Show more options for Become a Data Analyst;;;Save;;;44h;;;Updated 3 weeks ago;;;;;LinkedIn;;;;;;;
Lesson: Visual models;Audio;;;Show more options for Lesson: Visual models;;;Save;;;3m 24s;;;Updated 3 weeks ago;;;;;LinkedIn;;;From the course: Data Visualization: A Lesson and Listen Series;;;;
Telling Stories with Data;Course;;;Show more options for Telling Stories with Data;;;Save;;;15m;;Intermediate;;;Jan 2019;;;;;LinkedIn;;By: Paul A. Smith;;;
