0;12;15;18;37;41;45;47;51;55;65;69;70;72;73;75;77;82;84;87;88;89;92;97;101;102;106;111
Database Foundations: Administration;Course;;;Show more options for Database Foundations: Administration;;;Save;;;2h 7m;;;Beginner;;;Mar 2021;;;;;;LinkedIn;;By: Adam Wilbert;;;
Advance Your Database Administration Skills;Learning Path;;;Show more options for Advance Your Database Administration Skills;;;Save;;;22h;;;;Updated 5 days ago;;;;;;LinkedIn;;;;;;;
MySQL Database Administration;Course;New;;;Show more options for MySQL Database Administration;;;Save;;;;6h 53m;;;;Beginner;1 week ago;;;;;;LinkedIn;;;By: John Pauler and Maven Analytics;
Oracle Database 12c: Administration;Course;;;Show more options for Oracle Database 12c: Administration;;;Save;;;3h 58m;;;Beginner + Intermediate;;;Nov 2016;;;;;;LinkedIn;;By: David Yahalom;;;
SQL Server Integration Services;Course;;;Show more options for SQL Server Integration Services;;;Save;;;2h 28m;;;Advanced;;;Updated Aug 2023;;;;;;LinkedIn;;By: Adam Wilbert;;;
SQL Server: Reporting Services;Course;;;Show more options for SQL Server: Reporting Services;;;Save;;;3h 30m;;;Advanced;;;Jul 2019;;;;;;LinkedIn;;By: Adam Wilbert;;;
Oracle Autonomous Database Administration Workshop;Course;;;Show more options for Oracle Autonomous Database Administration Workshop;;;Save;;;7h 54m;;;Intermediate;;;Aug 2023;;;;;;LinkedIn;;By: Oracle University;;;
SQL Server 2022 Administration;Course;;;Show more options for SQL Server 2022 Administration;;;Save;;;12h;;;Beginner;;;Jun 2023;;;;;;LinkedIn;;By: Microsoft Press and Eric Johnson;;;
Database Modernization;Course;;;Show more options for Database Modernization;;;Save;;;1h 28m;;;Beginner;;;Aug 2021;;;;;;LinkedIn;;By: David Yahalom;;;
Oracle Base Database Services Professional Workshop;Course;Popular;;;Show more options for Oracle Base Database Services Professional Workshop;;;Save;;;;7h 43m;;;;Advanced;Aug 2023;;;;;;LinkedIn;;;By: Oracle University;
Learning Oracle Database 19c;Course;;;Show more options for Learning Oracle Database 19c;;;Save;;;2h 7m;;;Beginner;;;Updated Dec 2023;;;;;;LinkedIn;;By: Bob Bryla;;;
