0;12;15;18;37;41;45;47;51;55;65;70;72;73;75;77;82;87;88;89;92;97;101;102;106;111
Database Foundations: Intro to Databases;Course;Popular;;;Show more options for Database Foundations: Intro to Databases;;;Save;;;3h 24m;;;;Beginner;Updated Sep 2023;;;;;LinkedIn;;;By: Adam Wilbert;
Programming Foundations: Databases;Course;Popular;;;Show more options for Programming Foundations: Databases;;;Save;;;1h 26m;;;;Beginner;Updated Apr 2024;;;;;LinkedIn;;;By: Scott Simpson;
Explore a Career in Database Development;Learning Path;;;Show more options for Explore a Career in Database Development;;;Save;;;7h 23m;;;Updated 1 week ago;;;;;LinkedIn;;;;;;;
Introduction to PostgreSQL;Course;;;Show more options for Introduction to PostgreSQL;;;Save;;;48m;;Beginner;;;Jul 2023;;;;;LinkedIn;;By: Sarah Conway Schnurr;;;
PostgreSQL Essential Training;Course;Popular;;;Show more options for PostgreSQL Essential Training;;;Save;;;3h;;;;Intermediate;Jul 2023;;;;;LinkedIn;;;By: Adam Wilbert;
Learning MySQL Development;Course;;;Show more options for Learning MySQL Development;;;Save;;;1h 56m;;Beginner;;;Jul 2023;;;;;LinkedIn;;By: Brad Wheeler;;;
Advanced Python: Practical Database Examples;Course;;;Show more options for Advanced Python: Practical Database Examples;;;Save;;;1h 48m;;Advanced;;;May 2023;;;;;LinkedIn;;By: Kathryn Hodge;;;
SQL for Finance: Income Statement Project;Course;Updated;Popular;;;Show more options for SQL for Finance: Income Statement Project;;;Save;;;;;2h 20m;;Intermediate;Updated 4 weeks ago;;;;;;LinkedIn;;By: Gabriela Baldivia Soncini
Excel: Setting Up a Database (Microsoft 365);Course;;;Show more options for Excel: Setting Up a Database (Microsoft 365);;;Save;;;47m;;Intermediate;;;Jan 2021;;;;;LinkedIn;;By: Dennis Taylor;;;
Advanced Kotlin Database Development;Course;;;Show more options for Advanced Kotlin Database Development;;;Save;;;1h 7m;;Advanced;;;Dec 2022;;;;;LinkedIn;;By: Alexey Soshin;;;
Practical Database Design: Implementing Responsible Data Solutions with SQL Querying;Course;;;Show more options for Practical Database Design: Implementing Responsible Data Solutions with SQL Querying;;;Save;;;2h 15m;;Intermediate;;;3 months ago;;;;;LinkedIn;;By: Dr. Brandeis Marshall;;;
