0;12;15;18;37;41;45;47;51;55;65;70;72;73;75;77;82;87;88;89;92;97;101;102;106;111
Introduction to Prompt Engineering for Generative AI (2023);Course;Popular;;;Show more options for Introduction to Prompt Engineering for Generative AI (2023);;;Save;;;44m;;;;Beginner;Mar 2023;;;;;LinkedIn;;;By: Ronnie Sheer;
What Is Generative AI?;Course;Popular;;;Show more options for What Is Generative AI?;;;Save;;;1h 3m;;;;Beginner;Updated 3 months ago;;;;;LinkedIn;;;By: Pinar Seyhan Demirdag;
Building a Generative AI Music Visualizer with JavaScript and React;Course;New;;;Show more options for Building a Generative AI Music Visualizer with JavaScript and React;;;Save;;;47m;;;;Advanced;2 weeks ago;;;;;LinkedIn;;;By: Eve Porcello;
Career Essentials in Generative AI by Microsoft and LinkedIn;Professional Certificate;;;Show more options for Career Essentials in Generative AI by Microsoft and LinkedIn;;;Save;;;4h 53m;;;Updated 3 months ago;;;;;;Provided by Microsoft and LinkedIn;;;;;;
Generative AI for Business Leaders;Course;Popular;;;Show more options for Generative AI for Business Leaders;;;Save;;;57m;;;;Intermediate;Updated Apr 2024;;;;;LinkedIn;;;By: Tomer Cohen;
Knowledge Graphs for Generative AI Use Cases;Course;New;Popular;;;Show more options for Knowledge Graphs for Generative AI Use Cases;;;Save;;;;;2h 9m;;Advanced;1 week ago;;;;;;LinkedIn;;By: Ashleigh Faith
Generative AI: Introduction to Large Language Models;Course;Popular;;;Show more options for Generative AI: Introduction to Large Language Models;;;Save;;;1h 36m;;;;Intermediate;Nov 2023;;;;;LinkedIn;;;By: Frederick Nwanganga;
Building Generative AI Skills for Developers;Learning Path;;;Show more options for Building Generative AI Skills for Developers;;;Save;;;13h;;;Updated 3 months ago;;;;;LinkedIn;;;;;;;
Driving Digital Transformation with Generative AI and Predictive AI Technologies;Course;New;Popular;;;Show more options for Driving Digital Transformation with Generative AI and Predictive AI Technologies;;;Save;;;;;1h 9m;;Intermediate;2 weeks ago;;;;;;LinkedIn;;By: Thomas Erl
Get Ready for Generative AI;Course;Popular;;;Show more options for Get Ready for Generative AI;;;Save;;;5m 26s;;;;Beginner;Feb 2023;;;;;LinkedIn;;;By: Ashley Kennedy;
Generative AI vs. Traditional AI;Course;Popular;;;Show more options for Generative AI vs. Traditional AI;;;Save;;;59m;;;;Intermediate;Sep 2023;;;;;LinkedIn;;;By: Doug Rose;
