0;12;15;18;37;41;45;47;51;55;65;70;72;73;75;77;82;87;88;89;92;97;101;102;106;111
NLP with Python for Machine Learning Essential Training;Course;;;Show more options for NLP with Python for Machine Learning Essential Training;;;Save;;;4h 14m;;Intermediate;;;Mar 2018;;;;;LinkedIn;;By: Derek Jedamski;;;
Natural Language Processing for Speech and Text: From Beginner to Advanced;Course;New;;;Show more options for Natural Language Processing for Speech and Text: From Beginner to Advanced;;;Save;;;3h 9m;;;;Intermediate;4 days ago;;;;;LinkedIn;;;By: Wuraola Oyewusi;
Advance Your Skills in Natural Language Processing;Learning Path;;;Show more options for Advance Your Skills in Natural Language Processing;;;Save;;;7h 20m;;;Updated 5 days ago;;;;;LinkedIn;;;;;;;
Large Language Models: Text Classification for NLP using BERT;Course;Popular;;;Show more options for Large Language Models: Text Classification for NLP using BERT;;;Save;;;55m;;;;Advanced;Jun 2022;;;;;LinkedIn;;;By: Jonathan Fernandes;
Advanced NLP with Python for Machine Learning;Course;;;Show more options for Advanced NLP with Python for Machine Learning;;;Save;;;1h 26m;;Advanced;;;4 months ago;;;;;LinkedIn;;By: Gwendolyn Stripling;;;
Generative AI: Working with Large Language Models;Course;Popular;;;Show more options for Generative AI: Working with Large Language Models;;;Save;;;1h 8m;;;;Advanced;Sep 2022;;;;;LinkedIn;;;By: Jonathan Fernandes;
Azure AI Fundamentals (AI-900) Cert Prep: 4 Natural Language Processing (NLP) Workloads on Azure;Course;;;Show more options for Azure AI Fundamentals (AI-900) Cert Prep: 4 Natural Language Processing (NLP) Workloads on Azure;;;Save;;;2h;;Beginner;;;Mar 2023;;;;;LinkedIn;;By: Eva Pardi;;;
Hands-On Natural Language Processing;Course;;;Show more options for Hands-On Natural Language Processing;;;Save;;;50m;;Advanced;;;Jun 2022;;;;;LinkedIn;;By: Wuraola Oyewusi;;;
Introduction to Large Language Models;Course;Popular;;;Show more options for Introduction to Large Language Models;;;Save;;;1h 5m;;;;Intermediate;Sep 2023;;;;;LinkedIn;;;By: Jonathan Fernandes;
Building NLP Pipelines with spaCy;Course;;;Show more options for Building NLP Pipelines with spaCy;;;Save;;;1h;;Advanced;;;Apr 2023;;;;;LinkedIn;;By: Prateek Sawhney;;;
Top 10 Skills for NLP Specialists;Course;;;Show more options for Top 10 Skills for NLP Specialists;;;Save;;;26m;;Beginner;;;Apr 2023;;;;;LinkedIn;;By: Ben Sullins and Free the Data Academy;;;
Deep Learning Foundations: Natural Language Processing with TensorFlow;Course;;;Show more options for Deep Learning Foundations: Natural Language Processing with TensorFlow;;;Save;;;1h 47m;;Intermediate;;;Apr 2021;;;;;LinkedIn;;By: Harshit Tyagi;;;
Chat with Your Data Using ChatGPT;Course;Popular;;;Show more options for Chat with Your Data Using ChatGPT;;;Save;;;1h 12m;;;;Intermediate;3 months ago;;;;;LinkedIn;;;By: Kesha Williams;
Fine-Tuning for LLMs: from Beginner to Advanced;Course;Popular;;;Show more options for Fine-Tuning for LLMs: from Beginner to Advanced;;;Save;;;3h 25m;;;;Advanced;1 month ago;;;;;LinkedIn;;;By: Axel Sirota;
