0;12;15;37;41;47;51;65;70;72;73;77;82;88;92;97;101;106
Deep Learning: Getting Started;Course;Popular;;Show more options for Deep Learning: Getting Started;;Save;;1h 13m;;;Intermediate;Updated Jan 2024;;;LinkedIn;;By: Kumaran Ponnambalam
Learning Graph Neural Networks;Course;;Show more options for Learning Graph Neural Networks;;Save;;2h 13m;;Intermediate;;2 months ago;;;LinkedIn;;By: Janani Ravi;
Artificial Intelligence Foundations: Neural Networks;Course;Popular;;Show more options for Artificial Intelligence Foundations: Neural Networks;;Save;;1h 45m;;;Beginner;Sep 2023;;;LinkedIn;;By: Gwendolyn Stripling
Neural Networks and Convolutional Neural Networks Essential Training;Course;;Show more options for Neural Networks and Convolutional Neural Networks Essential Training;;Save;;1h 19m;;Intermediate;;May 2018;;;LinkedIn;;By: Jonathan Fernandes;
Training Neural Networks in Python;Course;;Show more options for Training Neural Networks in Python;;Save;;2h 7m;;Advanced;;Nov 2022;;;LinkedIn;;By: Eduardo Corpeño;
Getting Started with AI and Machine Learning;Learning Path;;Show more options for Getting Started with AI and Machine Learning;;Save;;9h 38m;;;Updated Feb 2024;;;LinkedIn;;;;
Advance Your Skills in Deep Learning and Neural Networks;Learning Path;;Show more options for Advance Your Skills in Deep Learning and Neural Networks;;Save;;12h;;;Updated Jan 2024;;;LinkedIn;;;;
Building Deep Learning Applications with Keras;Course;;Show more options for Building Deep Learning Applications with Keras;;Save;;1h 50m;;Intermediate;;Mar 2024;;;LinkedIn;;By: Isil Berkun;
How do you design neural networks?;Audio;;Show more options for How do you design neural networks?;;Save;;4m 51s;;;Updated Sep 2023;;;LinkedIn;;From the course: Giving Computers Vision;;
Introduction to Deep Learning with OpenCV;Course;;Show more options for Introduction to Deep Learning with OpenCV;;Save;;49m;;Beginner + Intermediate;;Jun 2019;;;LinkedIn;;By: Jonathan Fernandes;
TensorFlow: Neural Networks and Working with Tables;Course;;Show more options for TensorFlow: Neural Networks and Working with Tables;;Save;;43m;;Intermediate;;Updated 3 months ago;;;LinkedIn;;By: Jonathan Fernandes;
Building and Deploying Deep Learning Applications with TensorFlow;Course;;Show more options for Building and Deploying Deep Learning Applications with TensorFlow;;Save;;1h 46m;;Intermediate;;Aug 2017;;;LinkedIn;;By: Adam Geitgey;
Deep Learning: Model Optimization and Tuning;Course;Popular;;Show more options for Deep Learning: Model Optimization and Tuning;;Save;;54m;;;Advanced;Feb 2022;;;LinkedIn;;By: Kumaran Ponnambalam
PyTorch Essential Training: Deep Learning;Course;Popular;;Show more options for PyTorch Essential Training: Deep Learning;;Save;;1h 21m;;;Intermediate;Apr 2024;;;LinkedIn;;By: Terezija Semenski
Recurrent Neural Networks;Course;;Show more options for Recurrent Neural Networks;;Save;;1h 7m;;Advanced;;Jul 2022;;;LinkedIn;;By: Kumaran Ponnambalam;
Training Neural Networks in C++;Course;;Show more options for Training Neural Networks in C++;;Save;;2h 6m;;Advanced;;Jul 2023;;;LinkedIn;;By: Eduardo Corpeño;
Advanced Graph Neural Networks;Course;;Show more options for Advanced Graph Neural Networks;;Save;;2h 4m;;Advanced;;2 months ago;;;LinkedIn;;By: Janani Ravi;
The evolution of deep learning;Audio;;Show more options for The evolution of deep learning;;Save;;5m 21s;;;Updated Sep 2023;;;LinkedIn;;From the course: Giving Computers Vision;;
Introduction to Attention-Based Neural Networks;Course;;Show more options for Introduction to Attention-Based Neural Networks;;Save;;2h 11m;;Intermediate;;Oct 2022;;;LinkedIn;;By: Janani Ravi;
Building Blocks for Deep Learning in the Wolfram Language;Course;;Show more options for Building Blocks for Deep Learning in the Wolfram Language;;Save;;54m;;Advanced;;Jan 2024;;;LinkedIn;;By: Wolfram Research;
