0;12;15;18;37;41;45;47;51;55;65;70;72;73;75;77;82;87;88;92;97;101;102;106;111
Introduction to Career Skills in Data Analytics;Course;Popular;;;Show more options for Introduction to Career Skills in Data Analytics;;;Save;;;2h 21m;;;;Beginner;Aug 2022;;;;LinkedIn;;;By: Robin Hunt;
What is a test case?;Audio;;;Show more options for What is a test case?;;;Save;;;3m 4s;;;Updated Oct 2023;;;;;LinkedIn;;From the course: Tech on the Go: Building a Software Test Department;;;;
Tech Career Skills: Effective Technical Communication;Course;Popular;;;Show more options for Tech Career Skills: Effective Technical Communication;;;Save;;;1h;;;;Beginner;Jan 2019;;;;LinkedIn;;;By: Annyce Davis;
Does the difference between bugs and defects matter?;Audio;;;Show more options for Does the difference between bugs and defects matter?;;;Save;;;2m 19s;;;Updated Oct 2023;;;;;LinkedIn;;From the course: Tech on the Go: Building a Software Test Department;;;;
What kinds of tests are there?;Audio;;;Show more options for What kinds of tests are there?;;;Save;;;5m 31s;;;Updated Oct 2023;;;;;LinkedIn;;From the course: Tech on the Go: Building a Software Test Department;;;;
Succeeding as a First-Time Tech Manager;Course;Popular;;;Show more options for Succeeding as a First-Time Tech Manager;;;Save;;;43m;;;;Intermediate;Dec 2019;;;;LinkedIn;;;By: Rashim Mogha;
Why should you test software?;Audio;;;Show more options for Why should you test software?;;;Save;;;3m 52s;;;Updated Oct 2023;;;;;LinkedIn;;From the course: Tech on the Go: Building a Software Test Department;;;;
Introduction to Career Skills in Software Development;Course;Popular;;;Show more options for Introduction to Career Skills in Software Development;;;Save;;;1h 57m;;;;Beginner;Aug 2022;;;;LinkedIn;;;By: Annyce Davis;
Building a partnership with engineering and product;Audio;;;Show more options for Building a partnership with engineering and product;;;Save;;;5m 51s;;;Updated Oct 2023;;;;;LinkedIn;;From the course: Tech on the Go: Building a Software Test Department;;;;
Tech Trends;Course;Updated;Popular;;;Show more options for Tech Trends;;;Save;;;;;1h 57m;;General;Updated 2 months ago;;;;;LinkedIn;;By: David Gassner, Walt Ritscher and 3 other authors
Cybersecurity Careers and Certifications;Course;Popular;;;Show more options for Cybersecurity Careers and Certifications;;;Save;;;2h 8m;;;;Beginner;Jan 2023;;;;LinkedIn;;;By: Marc Menninger;
Testing as part of a CI/CD pipeline;Audio;;;Show more options for Testing as part of a CI/CD pipeline;;;Save;;;3m 26s;;;Updated Oct 2023;;;;;LinkedIn;;From the course: Tech on the Go: Building a Software Test Department;;;;
A practical case for quality;Audio;;;Show more options for A practical case for quality;;;Save;;;3m 5s;;;Updated Sep 2023;;;;;LinkedIn;;From the course: Tech on the Go: Building a Software Test Department;;;;
Scaling a test department;Audio;;;Show more options for Scaling a test department;;;Save;;;2m 28s;;;Updated Sep 2023;;;;;LinkedIn;;From the course: Tech on the Go: Building a Software Test Department;;;;
Writing a Tech Resume;Course;;;Show more options for Writing a Tech Resume;;;Save;;;55m;;General;;;Apr 2020;;;;LinkedIn;;By: Emma Bostian;;;
The practice of exploratory testing;Audio;;;Show more options for The practice of exploratory testing;;;Save;;;4m 35s;;;Updated Oct 2023;;;;;LinkedIn;;From the course: Tech on the Go: Building a Software Test Department;;;;
Chief Technology Officer Career Guide;Course;Popular;;;Show more options for Chief Technology Officer Career Guide;;;Save;;;2h 33m;;;;Intermediate;Updated Feb 2022;;;;LinkedIn;;;By: Drew Falkman;
Career Insights for Tech Professionals;Course;;;Show more options for Career Insights for Tech Professionals;;;Save;;;41m;;Beginner;;;Aug 2020;;;;LinkedIn;;By: LinkedIn Learning Instructors;;;
Get Ready for Your Coding Interview;Course;;;Show more options for Get Ready for Your Coding Interview;;;Save;;;1h 50m;;Intermediate;;;Updated Oct 2021;;;;LinkedIn;;By: YK Sugi;;;
Session-based testing with a group;Audio;;;Show more options for Session-based testing with a group;;;Save;;;3m 53s;;;Updated Sep 2023;;;;;LinkedIn;;From the course: Tech on the Go: Building a Software Test Department;;;;
Tech Talk for Nontechnical Professionals;Course;;;Show more options for Tech Talk for Nontechnical Professionals;;;Save;;;1h 4m;;Beginner;;;Dec 2022;;;;LinkedIn;;By: Angie Jones;;;
Data Science and Analytics Career Paths and Certifications: First Steps;Course;Popular;;;Show more options for Data Science and Analytics Career Paths and Certifications: First Steps;;;Save;;;1h 32m;;;;Beginner;Feb 2022;;;;LinkedIn;;;By: Jungwoo Ryoo;
Automated software testing for rapid feedback;Audio;;;Show more options for Automated software testing for rapid feedback;;;Save;;;4m 36s;;;Updated Oct 2023;;;;;LinkedIn;;From the course: Tech on the Go: Building a Software Test Department;;;;
Measuring code and test coverage;Audio;;;Show more options for Measuring code and test coverage;;;Save;;;3m 44s;;;Updated Sep 2023;;;;;LinkedIn;;From the course: Tech on the Go: Building a Software Test Department;;;;
Microsoft Certifications: Exams, Paths, Certifications, and Resources;Course;Popular;;;Show more options for Microsoft Certifications: Exams, Paths, Certifications, and Resources;;;Save;;;1h 58m;;;;Beginner;Updated Apr 2024;;;;LinkedIn;;;By: David Elfassy;
The role of security testing;Audio;;;Show more options for The role of security testing;;;Save;;;3m 44s;;;Updated Oct 2023;;;;;LinkedIn;;From the course: Tech on the Go: Building a Software Test Department;;;;
Tech Career Skills: Moving from Developer to Engineering Manager;Course;;;Show more options for Tech Career Skills: Moving from Developer to Engineering Manager;;;Save;;;52m;;Intermediate;;;Feb 2020;;;;LinkedIn;;By: Jessica Rose;;;
Finding New Career Paths with SQL;Course;;;Show more options for Finding New Career Paths with SQL;;;Save;;;43m;;Beginner;;;Oct 2021;;;;LinkedIn;;By: Nikiya Simpson;;;
Building Your Cybersecurity Talent Pipeline;Course;;;Show more options for Building Your Cybersecurity Talent Pipeline;;;Save;;;48m;;Beginner;;;Jun 2022;;;;LinkedIn;;By: Tia Hopkins;;;
Regression testing for confidence;Audio;;;Show more options for Regression testing for confidence;;;Save;;;3m 10s;;;Updated Oct 2023;;;;;LinkedIn;;From the course: Tech on the Go: Building a Software Test Department;;;;
Transitioning to a Career in Cybersecurity;Course;;;Show more options for Transitioning to a Career in Cybersecurity;;;Save;;;1h 19m;;Beginner;;;Jan 2024;;;;LinkedIn;;By: Marc Menninger;;;
How to Start Your STEM Career;Course;;;Show more options for How to Start Your STEM Career;;;Save;;;1h 3m;;General;;;2 months ago;;;;LinkedIn;;By: CRFT Productions and Keith Thomson;;;
Tech Career Skills: Searching, Interviewing, and Landing a Job;Course;;;Show more options for Tech Career Skills: Searching, Interviewing, and Landing a Job;;;Save;;;1h 28m;;Beginner;;;Updated Dec 2023;;;;LinkedIn;;By: Nishant Bhajaria;;;
Becoming a Data Analyst (Whether That Word Is in Your Title or Not);Course;;;Show more options for Becoming a Data Analyst (Whether That Word Is in Your Title or Not);;;Save;;;59m;;Intermediate;;;Jan 2024;;;;LinkedIn;;By: Kevin Hartman;;;
Linting and detecting bad code smells;Audio;;;Show more options for Linting and detecting bad code smells;;;Save;;;5m 32s;;;Updated Sep 2023;;;;;LinkedIn;;From the course: Tech on the Go: Building a Software Test Department;;;;
Addressing Technical Skills Gaps;Course;;;Show more options for Addressing Technical Skills Gaps;;;Save;;;27m;;Beginner;;;Nov 2023;;;;LinkedIn;;By: Rashim Mogha;;;
Building Your Technology Skills;Course;;;Show more options for Building Your Technology Skills;;;Save;;;3h 29m;;Beginner;;;Updated Aug 2016;;;;LinkedIn;;By: Martin Guidry;;;
