0;1;2;3;4;5
Artificial-Intelligence-Foundations;Accessibility and AI: Bridging the Disability Divide;2024-06-14;1808;Leverage the power of AI to design and develop more accessible, inclusive, and innovative products.;['Digital Accessibility', 'Artificial Intelligence (AI)']
Artificial-Intelligence-Foundations;Machine Learning and AI Foundations: Classification Modeling;2018-08-20;53952;Classification methods are among the most important in modern data science. Learn classification strategies and algorithms for machining learning and AI.;['Machine Learning', 'Artificial Intelligence (AI)', 'Data Classification']
Artificial-Intelligence-Foundations;Top 10 Skills for AI Engineer/AI Ops Engineers;2023-08-31;2114;Learn the top ten skills of AI and AI Ops engineers to build out your professional toolbox and boost your career.;['Artificial Intelligence (AI)']
Artificial-Intelligence-Foundations;Agentic AI for Developers: Concepts and Application for Enterprises;2024-09-16;0;Learn about the concepts and applications of agentic AI to build transformative use cases for enterprises.;['AI Software Development', 'AI Agents', 'Generative AI']
Artificial-Intelligence-Foundations;Artificial Intelligence and Application Security;2024-09-26;2551;Learn about the important aspects to consider when it comes to AI and application security, and how to apply different use cases to your organization.;['Application Security', 'Artificial Intelligence (AI)']
Artificial-Intelligence-Foundations;AI Techniques for Networking;2024-06-14;0;Discover how to leverage the power of AI and machine learning to transform your networking experience.;['Artificial Intelligence (AI)', 'Network Administration']
Artificial-Intelligence-Foundations;What Is Generative AI?;2023-03-15;1462450;Learn about the basics of generative AI, including its history, popular models, how it works, ethical implications, and much more.;['Generative AI Tools', 'Generative AI', 'Artificial Intelligence (AI)']
Artificial-Intelligence-Foundations;Hands-on Data Science and AI for Healthcare;2023-08-03;13150;Discover practical, real-world strategies and use scenarios for applying data science and machine learning algorithms to gather insights and visualize data in healthcare.;['Healthcare Information Technology (HIT)', 'Artificial Intelligence (AI)', 'Healthcare Analytics']
Artificial-Intelligence-Foundations;Advanced Python Projects: Build AI Applications;2024-04-24;11155;Learn the skills and knowledge needed to create a portfolio of Python-based applications and tools that can be showcased to employers or used to bring your own ideas to life.;['Artificial Intelligence (AI)', 'Application Development', 'Python (Programming Language)']
Artificial-Intelligence-Foundations;Building Skills with Semantic Kernel;2023-04-17;7204;Level up your skills with Semantic Kernel, the new face of AI-powered development that helps integrate LLM AI capabilities into applications.;['Software Development', 'Large Language Models (LLM)', 'Generative AI', 'Artificial Intelligence (AI)']
Artificial-Intelligence-Foundations;LinkedIn AI Academy AI-100: 2 Supervised Learning with Neural Networks;2023-05-04;7688;Get a foundational understanding of neural networks from two LinkedIn AI engineers.;['Supervised Learning', 'Artificial Intelligence (AI)', 'Artificial Neural Networks']
Artificial-Intelligence-Foundations;Prompt Flow: Hands-On;2024-09-12;1358;Develop LLM-based AI apps with Prompt Flow. Create, analyze, and evaluate workflows linking LLMs, prompts, and Python code. Ensure production-quality apps through effective debugging and performance evaluation.;['AI Software Development', 'Prompt Flow']
Artificial-Intelligence-Foundations;LinkedIn AI Academy AI-100: 1 Demystifying AI;2023-05-04;31664;Learn what artificial intelligence is, a brief history of the field, the variety of ways in which AI touches our lives today, and the possibilities that lay ahead of us.;['Artificial Intelligence (AI)']
Artificial-Intelligence-Foundations;Google Cloud Digital Cloud Leader Cert Prep: 3 Innovating with Google Cloud Artificial Intelligence;2024-03-13;5228;Explore topics related to the AI and ML solutions available through Google Cloud and prepare for the Google Cloud Digital Leader exam.;['Google Cloud Platform (GCP)', 'Artificial Intelligence (AI)']
Artificial-Intelligence-Foundations;Introducing Semantic Kernel: Building AI-Based Apps;2023-03-17;50880;Get an overview of Semantic Kernel (SK), the latest addition to the Microsoft AI ecosystem that leverages LLMs and AI models to revolutionize software development.;['AI Software Development', 'Semantic Kernel', 'Generative AI']
Artificial-Intelligence-Foundations;AI Programming for JavaScript Developers;2024-04-04;1693;Learn how to harness the power of AI in your JavaScript work and remain on the cutting edge of technologies in your career.;['Artificial Intelligence (AI)', 'JavaScript']
Artificial-Intelligence-Foundations;Data Driven: Harnessing Data and AI to Reinvent Customer Engagement (getAbstract Summary);2019-11-22;9838;Learn how technology can support marketing in the digital era, in this audio-only summary of the popular book by Tom Chavez, Vivek Vaidya, and Chris O’Hara.;['Artificial Intelligence for Business', 'Customer Engagement', 'Marketing Strategy', 'Artificial Intelligence (AI)']
Artificial-Intelligence-Foundations;DALL-E: the Creative Process and the Art of Prompting;2023-06-27;11700;Get an overview of how generative AI imaging with tools like DALL-E is changing the world of art, design, and the creative process.;['AI Prompting', 'Artificial Intelligence for Design', 'AI Solutions', 'DALL-E', 'Creative Design']
Artificial-Intelligence-Foundations;AI Projects with Python, TensorFlow, and NLTK;2024-03-20;2913;Supercharge your technical know-how and start building AI projects using Python, TensorFlow, and NLTK.;['TensorFlow', 'Artificial Intelligence (AI)', 'NLTK', 'Python (Programming Language)']
Artificial-Intelligence-Foundations;Foundations of Azure Artificial Intelligence: Concepts, Capabilities, and Implementation;2024-06-07;2099;Get up and running with AI-powered solutions in Microsoft Azure, from preparation and development to deployment and analysis.;['Software Development', 'Artificial Intelligence (AI)', 'Microsoft Azure']
Artificial-Intelligence-Foundations;Introduction to AI-Native Vector Databases;2023-12-14;4631;Learn how data and AI professionals can optimize data systems using AI.;['Vector Databases', 'Large Language Models (LLM)', 'Artificial Intelligence (AI)']
Artificial-Intelligence-Foundations;Building in Azure AI Studio;2024-06-27;1397;Learn how to get started quickly with Azure AI Studio to create AI solutions.;['AI Software Development', 'Azure AI Studio']
Artificial-Intelligence-Foundations;Introduction to Prompt Engineering for Generative AI;2024-08-28;6296;Learn how to craft high-impact prompts for generative AI tools such as Copilot, ChatGPT, Gemini, and Claude, with hands-on practice.;['AI Prompting', 'Prompt Engineering']
Artificial-Intelligence-Foundations;AI Show: The Latest from Azure Form Recognizer;2023-05-02;0;On this episode of the AI show, explore what the latest prebuilt models and languages in Azure Form Recognizer can do for you and your organization.;['Artificial Intelligence (AI)', 'Document Processing', 'Microsoft Azure']
Artificial-Intelligence-Foundations;AI Meets Accessibility: A Conversation with Ioana Tanase and Christina Mallon;2024-03-19;46067;Join the ongoing conversation about responsible AI considerations for people with  disabilities and accessibility needs.;['IT Accessibility', 'Artificial Intelligence (AI)']
Artificial-Intelligence-Foundations;Reimagining Skills in the Age of AI;2024-10-07;0;LinkedIn VP Aneesh Raman discusses the role of AI in skills, skills development, upskilling, and reskilling.;['Skill Development', 'Artificial Intelligence (AI)']
Artificial-Intelligence-Foundations;Making Your AI Results More Predictable;2024-09-27;0;Learn to tackle the complexities of AI in this course on responsible usage, enhanced user prompts, human oversight, and robust systems to address biases, hallucinations, and more.;['Responsible AI', 'Artificial Intelligence (AI)']
Artificial-Intelligence-Foundations;OpenAI API: Introduction;2024-01-05;7490;Learn how the OpenAI API works and how to work with it in the OpenAI playground and in custom apps.;['OpenAI API', 'OpenAI Products', 'API Development', 'Artificial Intelligence (AI)']
Artificial-Intelligence-Foundations;AI Engineering Essentials: Navigating the Tech Revolution;2024-02-20;13992;Discover the core concepts and technical skills required to become a successful AI developer.;['Software Development', 'Artificial Intelligence (AI)']
Artificial-Intelligence-Foundations;Advanced Azure AI Engineering with AI Search and OpenAI;2024-06-07;1346;Learn how to use advanced features and functionalities available in Azure AI Search and Azure OpenAI Service.;['Software Development', 'Artificial Intelligence (AI)', 'Microsoft Azure']
