0;1;2;3;4;5
Business-Intelligence;Learning Data Science: Tell Stories With Data;2017-02-19;117183;Learn how to ensure your data science stories engage your stakeholders and drives results.;['Data Storytelling']
Business-Intelligence;Data Storytelling Basics;2022-05-04;53776;Discover the power of storytelling with data visualizations in this audio-only course adapted from the Free the Data Podcast.;['Data Storytelling']
Business-Intelligence;SAP Accounts Receivable Boot Camp;2019-06-07;54188;Boost your productivity as a new SAP Finance user by learning the fundamental business transactions and tasks in the AR functionality of the SAP suite of enterprise software.;['SAP Products']
Business-Intelligence;Power BI Quick Tips;2020-02-07;66874;Watch quick videos to learn helpful, timesaving tips for how to use the features of Power Bl Online. Explore ways to eliminate obstacles and be more efficient using Power BI.;['Microsoft Power BI']
Business-Intelligence;Power BI Data Analyst Associate (PL-300) Cert Prep: Creating Reports in Power BI;2023-04-26;17531;Learn how to create reports and dashboards in Power BI.;['Data Reporting', 'Microsoft Power BI']
Business-Intelligence;Tableau Beyond the Basics: Growing Your Analytics and Business Intelligence Toolkit;2022-11-23;9872;Learn to create dynamic visualizations that unlock the power of Tableau to clearly communicate complex analytical insights and begin the journey to becoming a Tableau expert.;['Business Intelligence (BI)', 'Tableau']
Business-Intelligence;Power BI: Working Together with ChatGPT;2023-12-18;10388;Learn how to safely use chat-driven AI, such as ChatGPT, to get the most from your Power BI experience.;['ChatGPT', 'Microsoft Power BI']
Business-Intelligence;SharePoint: Mobilizing Workflows with PowerApps;2017-07-12;15469;Access your SharePoint applications wherever you go by creating a PowerApp. Learn how to access lists and workflows you've built in SharePoint on a mobile device or in a browser.;['Microsoft Power Apps', 'SharePoint']
Business-Intelligence;Hands-On SAP Business Rule Framework (BRF+);2021-07-01;7843;Learn how to create a BRF+ deliverable in this hands-on course.;['BRF', 'SAP ERP']
Business-Intelligence;Microsoft Power Platform Developer Associate (PL-400) Cert Prep;2023-10-19;2848;Get an overview of Microsoft Power Platform and prepare for the Power Platform Developer (Pl-400) exam.;['Microsoft Power Platform', 'Microsoft Development']
Business-Intelligence;Learning Power Automate Desktop for Developers;2023-02-03;6428;Learn how to use Power Automate Desktop, a popular (and free!) RPA tool for developers.;['Microsoft Power Automate']
Business-Intelligence;Marketing Strategy: Competitive Intelligence;2022-09-27;44782;Learn how to conduct a competitive analysis to gain insight into your competitors, as well as to identify your own competitive edge in the marketplace.;['Marketing Strategy', 'Competitive Intelligence']
