0;1;2;3;4;5
Data-Analysis;Tableau Desktop Specialist Cert Prep;2024-09-11;0;This course provides a hands-on guide to acing the Tableau Desktop Specialist and Data Analyst exams, with project files and full-length practice tests.;['Tableau']
Data-Analysis;SAS Essential Training: 2 Regression Analysis for Healthcare Research;2019-04-02;17764;Deepen your SAS knowledge by learning how to conduct a regression analysis of a health survey data center using this popular data analytics platform.;['SAS (Software)', 'Regression Analysis']
Data-Analysis;Level Up: SQL;2022-11-09;24769;Test your SQL skills with these concise challenges.;['SQL']
Data-Analysis;Power BI Quick Tips;2020-02-07;66874;Watch quick videos to learn helpful, timesaving tips for how to use the features of Power Bl Online. Explore ways to eliminate obstacles and be more efficient using Power BI.;['Microsoft Power BI']
Data-Analysis;Hands-on Data Science and AI for Healthcare;2023-08-03;13150;Discover practical, real-world strategies and use scenarios for applying data science and machine learning algorithms to gather insights and visualize data in healthcare.;['Healthcare Information Technology (HIT)', 'Artificial Intelligence (AI)', 'Healthcare Analytics']
Data-Analysis;Side Hustle Strategies for Data Science and Analytics Experts;2020-04-14;46791;Diversify your career prospects by integrating a side hustle with your existing responsibilities. Learn how to leverage your data science and analytics skills to work for yourself.;['Data Science', 'Data Analytics', 'Career Management']
Data-Analysis;Introduction to Tableau Pulse;2024-04-25;4330;Get familiar with the features and functionality of Tableau Pulse, the new AI-driven analytics tool from Tableau.;['Data Analysis', 'Analytics', 'Tableau']
Data-Analysis;Power BI and BIM: Analysis and Visualization;2020-11-02;30222;Prepare yourself for a career in BIM (building information modeling) with this introduction to Power BI. Learn about organizing your data, creating powerful visualizations, and more.;['Data Visualization', 'Microsoft Power BI', 'Building Information Modeling (BIM)']
Data-Analysis;Machine Learning with Logistic Regression in Excel, R, and Power BI;2021-11-05;21872;Learn how to perform logistic regression using R and Excel and use Power BI to integrate these methods into a scalable, sharable model.;['Logistic Regression', 'Microsoft Power BI', 'R (Programming Language)', 'Machine Learning', 'Microsoft Excel']
Data-Analysis;Microsoft Azure Data Fundamentals (DP-900) Cert Prep by Microsoft Press;2024-08-30;0;Develop job-ready skills as a data science professional. Prepare for the Microsoft Azure Data Fundamentals (DP-900) exam.;['Data Analytics', 'Microsoft Azure']
Data-Analysis;Productizing Data Applications with KNIME Business Hub;2024-08-30;0;Find out how KNIME Business Hub provides a single, customer-managed environment for all data workers to collaborate on and deploy data science solutions across an organization.;['Knime']
Data-Analysis;Excel: Creating a Basic Dashboard;2022-02-08;664676;Learn how to surface and summarize your data effectively in an Excel dashboard.;['Excel Dashboards', 'Microsoft Excel']
Data-Analysis;Advanced Hands-On Python: Working with Excel and Spreadsheet Data;2024-06-21;8049;This course demonstrates ways to use Python to work with Excel and spreadsheet data, such as reading, writing, and converting content and working with Excel workbooks, sheet data, and formulas.;['Pandas (Software)', 'Data Analysis', 'Microsoft Excel', 'Python (Programming Language)']
Data-Analysis;Practice It: Advanced SQL;2024-03-06;6485;Get hands-on practice with common advanced data analysis tasks used in SQL.;['SQL']
Data-Analysis;The Data Skills Survival Kit;2022-10-12;21752;In this series, learn skills, tools, and techniques to use in your data analysis, along with how to decide which tools to apply in different situations.;['Data Visualization', 'Statistical Data Analysis', 'Analytics']
Data-Analysis;Learning Public Data Sets;2019-07-12;19767;Learn how to find free, public sources of data on a variety of business, education, and health issues and download the data for your own analysis.;['Big Data']
Data-Analysis;Power BI Data Dashboards;2023-08-25;29957;Build and use optimal data dashboards with Microsoft Power BI. Make your findings easy to understand through the design and customized setup of visuals and charts.;['Microsoft Power BI', 'Performance Dashboards']
Data-Analysis;The 80/20 Rule of Data Science;2024-09-04;0;Explore the core concepts of the 80/20 rule for data science and how to get most of the value with minimal effort.;['Data Science', 'Project Engineering', 'Team Management', 'Data Analytics']
Data-Analysis;Power BI Top Skills;2022-02-17;48004;Learn how to use Microsoft Power BI, one of the most popular and user-friendly data analytics tools in the world.;['Microsoft Power BI']
