0;1;2;3;4;5
Data-Engineering;ETL and ELT in PostgreSQL;2022-09-26;9051;Get an overview of ETL/ELT processes, the differences between the approaches, and how you can use them to structure your data pipeline.;['PostgreSQL', 'Extract, Transform, Load (ETL)']
Data-Engineering;Databricks Certified Data Engineer Associate Cert Prep: 6 Data Access with Unity Catalog;2024-01-25;1533;Boost your skills as a data science professional to prepare for the second part of the fifth section of the Databricks Certified Data Engineer Associate certification exam.;['Data Access', 'Databricks Products', 'Data Engineering']
Data-Engineering;Cleaning Bad Data in R;2018-08-22;51720;Clean up your data in R. Learn how to identify and address data integrity issues such as missing and duplicate data, using R and the tidyverse.;['R (Programming Language)', 'Data Cleaning']
Data-Engineering;Amazon Redshift Essentials;2022-04-22;7593;Learn about core concepts and best practices of database management with AWS Redshift.;['Amazon Redshift']
Data-Engineering;Apache Spark Essential Training: Big Data Engineering;2024-10-01;0;This course focuses on building full-fledged solutions that combine Apache Spark with other Big Data tools to create end-to-end data pipelines.;['Data Pipelines', 'Data Engineering', 'Apache Spark', 'Big Data']
Data-Engineering;Working with Data Arrays in PostgreSQL;2024-03-15;0;Get a thorough introduction to data arrays in PostgreSQL, including examples of when array data is useful and tools that can help you.;['Data Engineering', 'PostgreSQL']
Data-Engineering;Cloud Hadoop: Scaling Apache Spark;2020-04-01;19058;Generate genuine business insights from big data. Learn to implement Apache Hadoop and Spark workflows on AWS.;['Hadoop', 'Apache Spark']
Data-Engineering;Data Cleaning and Manipulating with Python in Excel;2024-10-03;16044;Learn how to leverage both your understanding of Excel and the analytical power of Python.;['Data Manipulation', 'Data Cleaning', 'Microsoft Excel', 'Python (Programming Language)']
Data-Engineering;Hands-On Introduction: Data Engineering;2023-04-28;22178;Discover and apply the fundamentals of data engineering in this hands-on, approachable, skills-based course.;['Data Engineering']
Data-Engineering;Google Cloud Professional Data Engineer Cert Prep: 4 Ensuring Solution Quality;2023-07-21;0;Prepare for the Google Cloud Professional Data Engineer certification exam’s fourth section, which focuses on ensuring solution quality.;['Google Cloud Platform (GCP)', 'Data Engineering']
Data-Engineering;Apache Kafka Essential Training: Building Scalable Applications;2023-07-03;6365;Learn about the scalability and manageability aspects of Apache Kafka and how to build asynchronous applications with Kafka and Java.;['Apache Kafka', 'Scalable Web Applications']
Data-Engineering;Learning Apache Airflow;2023-07-12;9098;Get an introduction to Apache Airflow—its uses, structure, how to get it up and running, and how to create and execute workflows.;['Apache Airflow', 'IT Automation']
Data-Engineering;Microsoft Azure Data Engineer Associate (DP-203) Cert Prep: 1 Design and Implement Data Storage by Microsoft Press;2023-08-14;5862;Explore the fundamental concepts and skills required to design and implement data storage to pass the Microsoft Azure Data Engineer Associate (DP-203) certification exam.;['Data Storage', 'Data Engineering', 'Microsoft Azure']
Data-Engineering;Microsoft Azure Data Engineer Associate (DP-203) Cert Prep: 4 Monitor and Optimize Data Storage and Data Processing by Microsoft Press;2023-08-14;1436;Explore the concepts and skills required to monitor and optimize data storage and data processing to pass the Microsoft Azure Data Engineer Associate (DP-203) certification exam.;['Data Storage', 'Data Engineering', 'Microsoft Azure']
Data-Engineering;Architecting Big Data Applications: Batch Mode Application Engineering;2023-10-06;2307;Develop the skills required to architect and manage batch processing applications to generate consistent data-driven results.;['Batch Processing', 'Big Data']
Data-Engineering;Learning Splunk;2023-04-18;29839;Splunk lets you make sense of the chaos of your data. Check out this course to get up and running quickly.;['Data Monitoring', 'Splunk']
Data-Engineering;Data Pipeline Automation with GitHub Actions Using R and Python;2024-04-23;3523;Learn how to set up workflows on GitHub Actions to automate processes with both R and Python.;['Data Pipelines', 'R (Programming Language)', 'GitHub', 'Python (Programming Language)']
Data-Engineering;Data Engineering: dbt for SQL;2023-09-26;5909;Learn how you can use dbt (data build tool) to make managing your SQL code simpler and faster.;['Data Build Tool (DBT)', 'Data Engineering', 'SQL']
Data-Engineering;Problem-Solving Strategies for Data Engineers;2023-06-30;8578;Data engineers are facing a wide variety of problems every day. Learn best practices on how to approach the typical challenges.;['Data Engineering', 'Problem Solving']
Data-Engineering;Introduction to Data Warehouses;2023-06-23;29995;Discover the basics of data warehouses, how they function and differ from other solutions, and how to implement them in your current or future role.;['Data Warehousing']
Data-Engineering;Oracle DB Cloud Database Migration and Integration Workshop;2023-08-02;2337;Gain a thorough understanding of Oracle Cloud Infrastructure terminology and basic concepts.;['Oracle Cloud', 'Data Integration', 'Data Migration']
Data-Engineering;Azure Data Engineer Associate (DP-203) Cert Prep: 1 Design and Implement Data Storage;2022-01-06;19396;Learn about designing and implementing data storage on Azure and begin your preparations to pass that domain of the Microsoft Azure Data Engineering (DP-203) exam.;['Data Engineering', 'Microsoft Azure']
Data-Engineering;Java: Data Structures;2021-11-29;33286;Find out what data structures are, what things to consider when choosing which data structure to use, and which data structures are the most common in Java.;['Data Structures', 'Java']
Data-Engineering;Databricks Certified Data Engineer Associate Cert Prep: 3 Incremental Data Processing;2024-01-24;1888;Boost your skills as a data science professional to prepare for the third section of the Databricks Certified Data Engineer Associate certification exam.;['Databricks Products', 'Data Processing', 'Data Engineering']
Data-Engineering;Learning Public Data Sets;2019-07-12;19767;Learn how to find free, public sources of data on a variety of business, education, and health issues and download the data for your own analysis.;['Big Data']
Data-Engineering;Learning Microsoft Fabric: A Data Analytics and Engineering Preview;2023-09-15;12577;Learn about Microsoft Fabric, an integrated SaaS analytics solution that will affect how enterprise data users move, store, and analyze data.;['Microsoft Fabric', 'Data Engineering', 'Data Analytics']
Data-Engineering;Python Data Structures: Linked Lists;2024-04-12;1744;Get an introduction to linked lists, a popular and useful dynamic data structure.;['Data Structures', 'Python (Programming Language)']
Data-Engineering;Python Data Structures: Dictionaries;2020-07-08;18094;Learn how to use dictionaries to store and retrieve unordered data in Python.;['Data Structures', 'Python (Programming Language)']
Data-Engineering;Introduction to SQL Using Google BigQuery;2024-01-11;3165;This course helps data professionals who can perform simple SQL queries at a small scale to perform those same queries at scale with Google Big Query.;['Google BigQuery', 'SQL']
Data-Engineering;End-to-End Data Engineering Project;2023-11-03;9347;Learn how to create an end-to-end data engineering project using open tools from the modern data stack to turn scattered data into a model that drives insights and decision-making.;['Data Engineering']
Data-Engineering;Microsoft Azure Data Engineer Associate (DP-203) Cert Prep: 2 Design and Develop Data Processing by Microsoft Press;2023-08-14;3308;Explore the fundamental concepts and skills required to design and develop data processing to pass the Microsoft Azure Data Engineer Associate (DP-203) certification exam.;['Data Processing', 'Microsoft Azure']
Data-Engineering;Python Data Structures:  Trees;2021-02-25;12320;Learn about binary search trees in Python and how to create, navigate, modify, and use them in a real-world context.;['Data Structures', 'Python (Programming Language)']
Data-Engineering;Learning Google Dataflow;2022-08-23;1831;Get an overview of Google Dataflow and the Dataflow service, then explore how to configure and monitor pipelines and use Dataflow templates.;['Google Cloud Dataflow', 'Data Processing']
Data-Engineering;Learning the Elastic Stack (2020);2020-10-29;28032;Get started with the Elastic Stack (formerly known as the ELK Stack). Learn how to work with Kibana and the other core components of the stack.;['Elastic Stack (ELK)']
Data-Engineering;Azure Data Engineer Associate (DP-203) Cert Prep: 4 Monitor and Optimize Data Storage and Data Processing;2022-12-15;1600;Learn about monitoring and optimizing data security and data processing on Azure and prepare to pass that domain of the Microsoft Azure Data Engineering (DP-203) exam.;['Data Storage', 'Data Processing', 'Data Monitoring', 'Microsoft Azure']
Data-Engineering;Microsoft Azure Data Engineer Associate (DP-203) Cert Prep by Microsoft Press;2024-09-17;2041;Review the core concepts and technical skills required to tackle the Microsoft Azure Data Engineer Associate (DP-203) certification exam.;['Data Storage', 'Data Engineering', 'Microsoft Azure']
Data-Engineering;Python Data Structures: Sets and Frozen Sets;2021-05-13;3744;Learn important basics of using Python sets and frozen sets.;['Data Structures', 'Python (Programming Language)']
Data-Engineering;Essentials of MLOps with Azure: 3 Spark MLflow Projects on Databricks;2022-09-09;1141;Explore exciting things you can do with MLflow projects, from the perspective of both Databricks and Azure.;['Databricks Products', 'MLOps', 'Microsoft Azure Machine Learning']
Data-Engineering;Data Ingestion with Python;2019-12-12;63575;Learn how to use Python tools and techniques to solve one of the main challenges data scientists face: getting good data to train their algorithms.;['Data Ingestion', 'Python (Programming Language)']
Data-Engineering;Data Cleaning in Python Essential Training;2022-11-09;26705;Improve the overall analytic workflow of your organization by boosting your data cleaning skills in Python.;['Data Cleaning', 'Python (Programming Language)']
Data-Engineering;Data Analytics with Google Cloud BigQuery and Looker Studio;2023-05-31;9900;Learn how to use Google Cloud BigQuery and Looker Studio to tell your story through data.;['Looker (Software)', 'Google BigQuery', 'Google Cloud Platform (GCP)', 'Data Analytics']
Data-Engineering;Data Wrangling in Excel with Power Query;2023-07-05;4935;Access and reshape your data seamlessly with Power Query in Excel.;['Microsoft Power Query', 'Data Wrangling', 'Microsoft Excel']
