0;1;2;3;4;5
Data-Resource-Management;SharePoint for Enterprise: Data Management;2020-12-14;17387;Learn how to use lists, libraries, and views properly to manage SharePoint data.;['Data Management', 'SharePoint']
Data-Resource-Management;SQL Server Database Triggers;2020-08-25;46504;Learn how to use SQL Server database triggers to automate routine tasks and facilitate a more consistent, reliable, and predictable system.;['Database Triggers', 'Microsoft SQL Server']
Data-Resource-Management;Data Management with Apache NiFi;2023-10-23;2929;Learn how Apache NiFi can help you with data management.;['Apache NiFi', 'Data Management']
Data-Resource-Management;LINQPad Essential Training;2020-11-05;1877;Start learning LINQPad, a tool for testing .NET code snippets easily. Explore LINQPad basics, the dump feature, samples of queries, outputs, utilities, debugging, and more.;['LINQPad']
Data-Resource-Management;Oracle Autonomous Database Administration Workshop;2023-08-16;2441;Learn Oracle Cloud Infrastructure terminology and core ideas. Plus, get ready for the Oracle Autonomous Database Cloud 2023 Specialist (1Z0-931-21) exam.;['Oracle Database', 'Data Management']
Data-Resource-Management;Excel: Managing and Analyzing Data;2022-09-26;163859;Learn how to manage and analyze large amounts of data using easy-to-use commands, features, and functions within Microsoft Excel.;['Data Management', 'Data Analysis', 'Microsoft Excel']
Data-Resource-Management;Advanced Python: Working With Data;2023-03-02;39529;Learn about the features of Python that can help you make sense of your data.;['Data Management', 'Python (Programming Language)']
Data-Resource-Management;Automating Data Quality in Dev Environments;2024-08-07;1234;Learn how to create quality standards for your organization’s data, then automate those standards in production environments.;['Data Governance', 'Data Management', 'Data Quality']
Data-Resource-Management;Database Modernization;2021-08-18;5313;Learn how to prepare for and successfully execute a database modernization project, including how to approach assessments, schema conversion, and data migration.;['Database Maintenance', 'Database Development', 'Data Migration']
Data-Resource-Management;Data Labeling for Machine Learning;2023-10-24;0;Learn about data labeling, why it is required to perform machine learning, and how you can use data labeling effectively.;['Data Labeling', 'Data Management', 'Machine Learning']
Data-Resource-Management;Certified Information Privacy Manager (CIPM) Cert Prep: 5 Privacy Operational Life Cycle: Sustain;2023-03-29;2545;Get ready to tackle the fifth domain of the Certified Information Privacy Manager (CIPM) certification exam.;['Data Privacy', 'Data Management']
