0;1;2;3;4;5
Database-Administration;SQL Server Integration Services;2019-08-22;63171;Learn how to extract, transform, and load data (and create ETL packages) with SQL Server Integration Services, one of the core add-on components to SQL Server.;['SQL Server Integration Services (SSIS)']
Database-Administration;Level Up: SQL;2022-11-09;24769;Test your SQL skills with these concise challenges.;['SQL']
Database-Administration;Choose the Right Tool for Your Data: Python, R, or SQL;2022-09-20;14549;Learn how to decide when to use Python, R, or SQL for your data projects.;['R (Programming Language)', 'SQL', 'Data Analysis', 'Python (Programming Language)']
Database-Administration;SQL for Statistics Essential Training;2018-03-09;65691;Learn how to use SQL for descriptive statistics: to summarize data sets, derive insights, and make predictions.;['SQL']
Database-Administration;Data Analysis: Investigate with SQL;2023-04-25;7578;Discover the top five skills to know in Microsoft SQL Server to manage data-driven insights more efficiently for your business.;['SQL']
Database-Administration;Nail Your SQL Interview;2022-04-19;17415;Get quick tips and coding techniques to nail your SQL interview and take your programming career to the next level.;['Interview Preparation', 'SQL']
Database-Administration;Introduction to SAP BI/BW;2020-05-18;50044;Get a learner-friendly introduction to the Business Intelligence (BI) and Business Warehouse (BW) tools in SAP.;['SAP Business Warehouse (SAP BW)', 'SAP BI']
Database-Administration;Oracle Database 12c: Security;2017-11-15;13608;Learn how to secure, protect, and harden an Oracle 12c database by configuring users, permissions and privileges, roles, auditing, and encryption.;['Oracle Database']
Database-Administration;Database Modernization;2021-08-18;5313;Learn how to prepare for and successfully execute a database modernization project, including how to approach assessments, schema conversion, and data migration.;['Database Maintenance', 'Database Development', 'Data Migration']
Database-Administration;Data Engineering: dbt for SQL;2023-09-26;5909;Learn how you can use dbt (data build tool) to make managing your SQL code simpler and faster.;['Data Build Tool (DBT)', 'Data Engineering', 'SQL']
Database-Administration;SQL Server Machine Learning Services: R;2020-05-01;10321;Learn how to execute R code directly on SQL Server with Machine Learning Services.;['R (Programming Language)', 'Machine Learning', 'Microsoft SQL Server']
Database-Administration;Learning SQL Server 2017;2018-01-09;25360;Get started with SQL Server 2017. Explore the most important features of SQL Server, and learn how the server operates, how to create tables and manipulate data, and more.;['Microsoft SQL Server']
Database-Administration;SAP BI/BW: Project Design and Implementation;2020-05-26;12319;Get a hands-on guide showing how to build real-world supply chain management solutions with SAP Business Intelligence (BI) and Business Warehouse (BW).;['SAP Business Warehouse (SAP BW)', 'SAP BI']
Database-Administration;Practice It: Advanced SQL;2024-03-06;6485;Get hands-on practice with common advanced data analysis tasks used in SQL.;['SQL']
