0;1;2;3;4;5
Database-Development;ETL and ELT in PostgreSQL;2022-09-26;9051;Get an overview of ETL/ELT processes, the differences between the approaches, and how you can use them to structure your data pipeline.;['PostgreSQL', 'Extract, Transform, Load (ETL)']
Database-Development;Using MongoDB with Python;2023-04-19;1440;Learn how to use MongoDB operations and aggregation, all in Python.;['MongoDB', 'Python (Programming Language)']
Database-Development;Databases for Node.js Developers;2021-01-21;13553;Learn about the various database options available for Node.js applications, so that you can select the right database for your app.;['Database Development', 'Node.js']
Database-Development;Learning Relational Databases;2017-09-27;77462;Learn how databases work and how you can start designing one of your own.;['Relational Databases']
Database-Development;Level Up: SQL;2022-11-09;24769;Test your SQL skills with these concise challenges.;['SQL']
Database-Development;Working with Data Arrays in PostgreSQL;2024-03-15;0;Get a thorough introduction to data arrays in PostgreSQL, including examples of when array data is useful and tools that can help you.;['Data Engineering', 'PostgreSQL']
Database-Development;Build Streaming Ingestion Pipelines for Snowflake with AWS;2024-02-09;2214;Upskill as a data professional by learning how to build streaming pipelines using Snowflake, Kafka, and AWS.;['Data Streaming', 'Snowflake', 'Amazon Web Services (AWS)']
Database-Development;Learning MongoDB;2022-12-16;9449;Get started with MongoDB. Learn how to use the popular nonrelational database to power your full-stack development workflow.;['MongoDB']
Database-Development;Choose the Right Tool for Your Data: Python, R, or SQL;2022-09-20;14549;Learn how to decide when to use Python, R, or SQL for your data projects.;['R (Programming Language)', 'SQL', 'Data Analysis', 'Python (Programming Language)']
Database-Development;SQL for Statistics Essential Training;2018-03-09;65691;Learn how to use SQL for descriptive statistics: to summarize data sets, derive insights, and make predictions.;['SQL']
Database-Development;Data Analysis: Investigate with SQL;2023-04-25;7578;Discover the top five skills to know in Microsoft SQL Server to manage data-driven insights more efficiently for your business.;['SQL']
Database-Development;Nail Your SQL Interview;2022-04-19;17415;Get quick tips and coding techniques to nail your SQL interview and take your programming career to the next level.;['Interview Preparation', 'SQL']
Database-Development;PHP with MySQL Essential Training: 1 The Basics;2017-06-27;62996;Learn how to build dynamic, data-driven webpages using PHP with MySQL.;['MySQL', 'PHP']
Database-Development;PostgreSQL: Advanced Queries;2021-09-28;15573;Find out about the range of statistical functions and techniques that are available for analyzing data stored within a PostgreSQL database.;['Database Queries', 'PostgreSQL']
Database-Development;Database Modernization;2021-08-18;5313;Learn how to prepare for and successfully execute a database modernization project, including how to approach assessments, schema conversion, and data migration.;['Database Maintenance', 'Database Development', 'Data Migration']
Database-Development;Data Engineering: dbt for SQL;2023-09-26;5909;Learn how you can use dbt (data build tool) to make managing your SQL code simpler and faster.;['Data Build Tool (DBT)', 'Data Engineering', 'SQL']
Database-Development;Database Design Fundamentals;2024-10-08;0;Get an understanding of database design to help you use databases better, make your queries more efficient, and better understand the theory behind what makes joins work.;['Data Science', 'Database Design']
Database-Development;Advanced PostgreSQL;2023-04-21;4361;Learn about advanced topics in PostgreSQL, the powerful, open-source, object-relational database system.;['PostgreSQL']
Database-Development;Advanced Snowflake: Deep Dive Cloud Data Warehousing and Analytics;2022-09-06;10901;Supercharge your Snowflake skills with this deep dive into architecture and advanced settings.;['Snowflake']
Database-Development;Introduction to NoSQL;2022-09-20;4619;Get a beginner-friendly guide to NoSQL. Discover what makes NoSQL valuable—and what these databases are capable of—with explanations that anyone can understand.;['NoSQL']
Database-Development;Introduction to AI-Native Vector Databases;2023-12-14;4631;Learn how data and AI professionals can optimize data systems using AI.;['Vector Databases', 'Large Language Models (LLM)', 'Artificial Intelligence (AI)']
Database-Development;Practice It: Advanced SQL;2024-03-06;6485;Get hands-on practice with common advanced data analysis tasks used in SQL.;['SQL']
Database-Development;Microsoft Azure Cosmos DB Developer Specialty (DP-420) Cert Prep: 1 Design and Implement Data Models by Microsoft Press;2023-05-08;1443;Learn the skills you need to master to tackle the first domain of the Microsoft Azure Cosmos DB Developer Specialty (DP-420) certification exam.;['Azure Cosmos DB', 'Data Modeling', 'Microsoft Azure']
Database-Development;Using MongoDB with Node.js;2023-04-19;1457;Learn how to use MongoDB operations and aggregation, all in Node.js.;['Node.js', 'MongoDB']
Database-Development;Graph Databases: Neo4j for Complex Data Relationships;2022-09-15;3785;Learn more about NoSQL databases, especially graph databases, in this project-based course.;['Neo4j']
Database-Development;Master Meta-Commands in PostgreSQL;2023-12-20;0;Supercharge your skills as a PostgreSQL database administrator by leveraging the power of meta-commands.;['PostgreSQL']
Database-Development;Understand SQL: Explore the Power and Versatility of the SQL Database Language;2022-09-26;16622;Get an overview of SQL, the domain-specific programming language that lets you define, manipulate, and query data from relational database management systems.;['SQL']
Database-Development;Microsoft Copilot for Azure SQL Database;2024-09-05;0;Leverage the functionalities of Microsoft Copilot for Azure SQL Database to manage and troubleshoot databases more effectively.;['Microsoft Copilot', 'SQL', 'SQL database design', 'Microsoft Azure']
Database-Development;Practice It: PHP with MySQL;2023-10-20;1616;Get hands-on experience with essential PHP with MySQL skills.;['MySQL', 'PHP']
Database-Development;Introduction to SQL Using Google BigQuery;2024-01-11;3165;This course helps data professionals who can perform simple SQL queries at a small scale to perform those same queries at scale with Google Big Query.;['Google BigQuery', 'SQL']
Database-Development;Introduction to PostgreSQL;2023-07-27;8466;Get an introduction to PostgreSQL—what it is, what it can do, and how to start using it.;['PostgreSQL']
Database-Development;Redis + AI: Building a Vector Database with Redis;2024-07-31;1902;This course shows developers how to exploit ready-made AI-related tools in Redis.;['Vector Databases', 'Artificial Intelligence (AI)', 'Redis', 'Database Design']
Database-Development;Using SQL with C++;2021-08-12;11753;Learn how to leverage the power of the C++ language for use with SQL.;['SQL', 'C++']
Database-Development;Advanced MongoDB: Efficient and Secure Data Management;2022-08-30;2158;Looking for a deeper dive into MongoDB? Tune into this course to explore advanced features and concepts that can help you get even more value from your database.;['Data Management', 'MongoDB']
Database-Development;Coding Exercises: SQL Data Science;2021-09-17;30537;Test your SQL skills with these code challenges.;['SQL']
Database-Development;Learning Teradata Vantage;2022-08-26;2164;Learn how to use Teradata, a powerful analytics tool, using an example Python application.;['Teradata']
Database-Development;Oracle Database 19c: Basic SQL;2020-03-24;53008;Learn the basics of how to code using SQL in an Oracle 19c Database environment. Learn how to get data in and out of tables, modify data, delete data, and more.;['Oracle Database', 'SQL']
Database-Development;Complete Guide to SQL for Data Engineering: from Beginner to Advanced;2024-06-03;7954;Get a comprehensive overview of SQL, the popular programming language for storing and processing information in a relational database, in this course for data engineers.;['Data Engineering', 'SQL']
Database-Development;Microsoft Azure Cosmos DB Developer Specialty (DP-420) Cert Prep: 2 Design and Implement Data Distribution by Microsoft Press;2023-05-09;0;Learn the skills you need to master to tackle the second domain of the Microsoft Azure Cosmos DB Developer Specialty (DP-420) certification exam.;['Azure Cosmos DB']
Database-Development;MySQL Data Analysis;2024-10-04;0;Learn how to explore and analyze relational databases with MySQL, complete hands-on assignments, and solve real-world business challenges.;['MySQL', 'Data Analysis']
Database-Development;Introduction to MongoDB;2023-04-17;5348;Learn the foundational skills and knowledge you need to get started with MongoDB.;['MongoDB']
Database-Development;SQL Practice: Window Functions;2023-09-13;13932;Test your knowledge of Window Functions in SQL with five challenges.;['SQL']
Database-Development;Advanced SQL: Solving Interpolation Challenges;2021-10-12;3043;Learn about the mathematical foundations of interpolation, some common challenges that involve interpolations, and several elegant ways to solve them.;['SQL']
Database-Development;SQL for Finance Professionals;2023-01-24;128495;Learn the fundamentals to get started in using SQL for financial analysis and modeling.;['Financial Analysis', 'SQL']
