0;1;2;3;4;5
Generative-AI;Exploring Million-Token Models with Google Gemini Pro 1.5;2024-04-22;5123;Explore Google Gemini Pro 1.5's groundbreaking million-token capacity, reshaping the future of AI prompting and understanding.;['Google Gemini', 'Large Language Models (LLM)', 'Chatbot Development']
Generative-AI;Ethics in the Age of Generative AI;2023-05-25;395293;Learn why ethical considerations are a critical part of the generative AI creation and deployment process and explore ways to address these ethical challenges.;['Responsible AI', 'Generative AI', 'Computer Ethics']
Generative-AI;Google Gemini: Get Started with Google's AI Assistant;2024-04-22;18431;Use Gemini, the AI assistant from Google to get answers to questions, draft new content, or get help inside of Google Workspace apps like Gmail, Google Docs, and Google Sheets.;['Google Gemini', 'Artificial Intelligence for Business']
Generative-AI;Agentic AI for Developers: Concepts and Application for Enterprises;2024-09-16;0;Learn about the concepts and applications of agentic AI to build transformative use cases for enterprises.;['AI Software Development', 'AI Agents', 'Generative AI']
Generative-AI;OpenAI API: Working with Files;2024-02-05;2778;Learn how to use the OpenAI Files API to manage data more efficiently and handle large datasets securely and effectively.;['OpenAI API', 'OpenAI Products', 'API Development']
Generative-AI;GPT-4: The New GPT Release and What You Need to Know;2023-04-19;158524;Get a sneak peek at GPT-4, the latest version of the popular AI software that interacts with large language models and generates content as natural text or code.;['GPT-4', 'Generative AI']
Generative-AI;What Is Generative AI?;2023-03-15;1462450;Learn about the basics of generative AI, including its history, popular models, how it works, ethical implications, and much more.;['Generative AI Tools', 'Generative AI', 'Artificial Intelligence (AI)']
Generative-AI;Azure OpenAI Services Security;2024-08-19;3188;Learn how to implement controls for securing the usage of Azure OpenAI services in an enterprise environment. See how to configure policies for securing cloud architecture.;['OpenAI API', 'Cloud Security', 'Microsoft Azure']
Generative-AI;Prompt Engineering with ChatGPT;2024-04-22;18311;Learn how to boost your productivity by leveraging powerful prompt engineering techniques with cutting-edge AI tools such as ChatGPT.;['Prompt Engineering', 'ChatGPT']
Generative-AI;Building Skills with Semantic Kernel;2023-04-17;7204;Level up your skills with Semantic Kernel, the new face of AI-powered development that helps integrate LLM AI capabilities into applications.;['Software Development', 'Large Language Models (LLM)', 'Generative AI', 'Artificial Intelligence (AI)']
Generative-AI;AI Show: The Basics of Prompt Engineering with Azure OpenAI Service;2023-07-14;15134;On this episode of the AI Show, explore the basics of prompt engineering with Azure OpenAI Service.;['Prompt Engineering', 'Microsoft Azure']
Generative-AI;Prompt Flow: Hands-On;2024-09-12;1358;Develop LLM-based AI apps with Prompt Flow. Create, analyze, and evaluate workflows linking LLMs, prompts, and Python code. Ensure production-quality apps through effective debugging and performance evaluation.;['AI Software Development', 'Prompt Flow']
Generative-AI;Learning Amazon Bedrock;2024-03-19;3708;Get a thorough introduction to Amazon Bedrock, a Generative AI/LLM product addition to the AWS ecosystem.;['Amazon Bedrock', 'MLOps']
Generative-AI;Generative AI and Open Source Models: Hands-On Practice with Hugging Face Models;2024-09-26;0;Gain a deep understanding of text generation with LLMs, from tokenization to controlling output, using advanced techniques.;['Open-Source Development', 'Generative AI']
Generative-AI;Introducing Semantic Kernel: Building AI-Based Apps;2023-03-17;50880;Get an overview of Semantic Kernel (SK), the latest addition to the Microsoft AI ecosystem that leverages LLMs and AI models to revolutionize software development.;['AI Software Development', 'Semantic Kernel', 'Generative AI']
Generative-AI;Generative AI for Business Leaders;2023-03-15;341391;Learn about the key issues and implications that global business leaders need to consider about generative artificial intelligence as they lead their companies into the future.;['Artificial Intelligence for Business', 'Generative AI']
Generative-AI;Building Agents with Vertex AI;2024-09-30;0;Vertex AI provides a low-code path to building advanced AI agents. Learn how to build agents that connect to external APIs, leverage documents for RAG, and synthesize web content.;['Generative AI', 'Vertex', 'Intelligent Agents']
Generative-AI;Building in Azure AI Studio;2024-06-27;1397;Learn how to get started quickly with Azure AI Studio to create AI solutions.;['AI Software Development', 'Azure AI Studio']
Generative-AI;Introduction to Prompt Engineering for Generative AI;2024-08-28;6296;Learn how to craft high-impact prompts for generative AI tools such as Copilot, ChatGPT, Gemini, and Claude, with hands-on practice.;['AI Prompting', 'Prompt Engineering']
Generative-AI;Generative AI for Small Businesses;2024-05-20;1541;Learn how to harness automation, optimize marketing, and ethically leverage AI for growth in operations, content creation, branding, and financial management.;['Business Strategy', 'Artificial Intelligence for Business', 'Generative AI']
Generative-AI;Building Applications Using Amazon Bedrock;2024-03-19;1727;Find out how you can use Amazon Bedrock to build applications for the most typical Generative AI use cases.;['Amazon Bedrock', 'MLOps', 'Application Development']
Generative-AI;OpenAI API: Introduction;2024-01-05;7490;Learn how the OpenAI API works and how to work with it in the OpenAI playground and in custom apps.;['OpenAI API', 'OpenAI Products', 'API Development', 'Artificial Intelligence (AI)']
Generative-AI;Getting Started with Claude 3;2024-03-22;2754;Claude 3 from Anthropic, the AI with a constitution, has three new models that one-up the competition with larger context, lower costs, and a new chatbot. We compare features, pricing, and API for developers.;['Anthropic Claude', 'Generative AI']
Generative-AI;Programming with the Gemini Flash API;2024-06-04;1799;Explore the capabilities and learn to use Google's low latency high-performance Gemini Flash API.;['Google Gemini', 'Generative AI', 'API Development']
Generative-AI;Generative AI vs. Traditional AI;2023-09-25;62159;See the key differences between generative and traditional AI.;['Generative AI']
Generative-AI;AI Workshop: Hands-on with GANs with Deep Convolutional Networks;2024-01-05;1566;Learn how to build and train deep convolutional generative adversarial networks (GANs) in this interactive, workshop-style coding course.;['Generative Adversarial Networks (GANs)', 'Convolutional Neural Networks (CNN)']
Generative-AI;Using Generative AI in Public Relations;2024-10-09;0;Learn how to use AI for communication, brainstorming, content creation, and social sentiment analysis, reshaping your approach to PR in the digital age.;['Public Relations', 'Generative AI']
Generative-AI;Prompting ChatGPT with Multimodal Techniques;2023-12-06;10619;Harness the full potential of ChatGPT by integrating image analysis, coding techniques, DALL-E artwork, and recent web data into your prompts.;['AI Prompting', 'Prompt Engineering', 'ChatGPT']
Generative-AI;Building PHP Applications with Generative AI;2024-04-05;1403;Learn how to use generative AI for code writing, validation, and testing.;['Web Development', 'Generative AI', 'PHP']
Generative-AI;Generative AI: Introduction to Large Language Models;2023-11-13;30290;Gain a foundational knowledge of how large language models and other Generative AI models work.;['Large Language Models (LLM)', 'Generative AI']
Generative-AI;Using Generative AI to Secure the Network;2024-06-04;1419;Discover how generative AI can revolutionize your network security strategy and ensure critical data stays safe from malicious activity.;['Network Security', 'Generative AI']
Generative-AI;Semantic Kernel in Action: Fundamentals;2024-05-23;1625;Gain a stronger understanding of Semantic Kernel, and learn how to utilize and integrate it into your AI development projects.;['Semantic Kernel', 'Application Development']
Generative-AI;Leveraging GenAI in .NET MAUI Development;2024-07-30;0;Learn how to leverage generative AI to increase your productivity in developing MAUI applications.;['.NET MAUI', 'Generative AI', 'Cross-platform Development']
Generative-AI;Generative AI: Working with Large Language Models;2022-09-30;68263;Explore a user-friendly approach to working with transformers and large language models for natural language processing.;['Large Language Models (LLM)', 'Transformer Models', 'Generative AI', 'Natural Language Processing (NLP)']
