0;1;2;3;4;5
Machine-Learning;Transfer Learning for Images Using PyTorch: Essential Training;2019-10-08;7264;Discover how to implement transfer learning using PyTorch, the popular machine learning framework.;['Transfer Learning', 'PyTorch', 'Machine Learning']
Machine-Learning;Machine Learning and AI Foundations: Classification Modeling;2018-08-20;53952;Classification methods are among the most important in modern data science. Learn classification strategies and algorithms for machining learning and AI.;['Machine Learning', 'Artificial Intelligence (AI)', 'Data Classification']
Machine-Learning;AutoML: Build Production-Ready Models Quickly!;2022-11-02;2396;Learn the basics of building production-ready automated machine learning (AutoML) models.;['Automated Machine Learning (AutoML)']
Machine-Learning;Google Cloud Professional Machine Learning Engineer Cert Prep: 4 Developing ML Models;2023-06-16;0;Learn about developing machine learning models in preparation for the Google Professional Machine Learning Engineer certification exam.;['Google Cloud Platform (GCP)', 'Machine Learning']
Machine-Learning;Amazon Web Services Machine Learning Essential Training;2018-04-05;46520;Learn about patterns, services, processes, and best practices for designing and implementing machine learning using Amazon Web Services.;['Machine Learning', 'Amazon Web Services (AWS)']
Machine-Learning;Machine Learning with Logistic Regression in Excel, R, and Power BI;2021-11-05;21872;Learn how to perform logistic regression using R and Excel and use Power BI to integrate these methods into a scalable, sharable model.;['Logistic Regression', 'Microsoft Power BI', 'R (Programming Language)', 'Machine Learning', 'Microsoft Excel']
Machine-Learning;AI Show: Medical Imaging with Azure Machine Learning;2023-03-15;1537;Learn about medical imaging with Azure Machine Learning, the technical challenges of real-world adoption of machine learning imaging, and key data safety and explainability topics.;['Microsoft Azure Machine Learning', 'Microsoft Azure']
Machine-Learning;LinkedIn AI Academy AI-100: 2 Supervised Learning with Neural Networks;2023-05-04;7688;Get a foundational understanding of neural networks from two LinkedIn AI engineers.;['Supervised Learning', 'Artificial Intelligence (AI)', 'Artificial Neural Networks']
Machine-Learning;Data Science Foundations: Data Assessment for Predictive Modeling;2020-09-11;13705;Explore the data understanding phase of the CRISP-DM methodology for predictive modeling. Find out how to collect, describe, explore, and verify data.;['Predictive Modeling', 'CRISP-DM', 'Data Assessment']
Machine-Learning;Supervised Learning Essential Training;2021-01-21;13545;This mid-level course takes you through how to create one of the most common types of machine learning: supervised learning models.;['Supervised Learning', 'Machine Learning']
Machine-Learning;Learning Amazon Bedrock;2024-03-19;3708;Get a thorough introduction to Amazon Bedrock, a Generative AI/LLM product addition to the AWS ecosystem.;['Amazon Bedrock', 'MLOps']
Machine-Learning;AWS Machine Learning: Building an Expense Tracker Using Amazon Textract;2021-02-10;2385;Certified AWS Solutions Architect Carols Rivas leads this project-based course on Textract, the Amazon OCR tool for parsing text out of images.;['Machine Learning', 'Amazon Web Services (AWS)']
Machine-Learning;Azure AI Fundamentals (AI-900) Cert Prep: 4 Natural Language Processing (NLP) Workloads on Azure;2023-03-16;5404;Upskill and build the knowledge you need to pass the Azure AI Fundamentals Exam (AI-900).;['Natural Language Processing (NLP)', 'Microsoft Azure Machine Learning']
Machine-Learning;Advanced AI: NLP Techniques for Clinical Datasets;2022-11-03;5917;Learn how to apply natural language processing to clinical and biomedical data.;['Natural Language Processing (NLP)', 'Applied Machine Learning', 'Healthcare Analytics']
Machine-Learning;Machine Learning Foundations: Linear Algebra;2022-08-30;35254;Explore the fundamentals of linear algebra, the mathematical foundation of machine learning algorithms.;['Linear Algebra', 'Machine Learning']
Machine-Learning;SQL Server Machine Learning Services: R;2020-05-01;10321;Learn how to execute R code directly on SQL Server with Machine Learning Services.;['R (Programming Language)', 'Machine Learning', 'Microsoft SQL Server']
Machine-Learning;Data Labeling for Machine Learning;2023-10-24;0;Learn about data labeling, why it is required to perform machine learning, and how you can use data labeling effectively.;['Data Labeling', 'Data Management', 'Machine Learning']
Machine-Learning;AI Show: AzureML Registries - Enabling Better Collaboration and MLOps;2023-05-03;0;On this episode of the AI show, go over ways you can use AzureML Registries to enable better collaboration and machine learning operations (MLOps).;['MLOps', 'Microsoft Azure Machine Learning', 'Microsoft Azure']
Machine-Learning;Machine Learning for iOS Developers;2018-04-04;24951;Get started with machine learning and the Core ML framework, and learn how to build your own custom machine learning model and integrate it into an iOS app.;['Machine Learning']
Machine-Learning;Introduction to AI-Native Vector Databases;2023-12-14;4631;Learn how data and AI professionals can optimize data systems using AI.;['Vector Databases', 'Large Language Models (LLM)', 'Artificial Intelligence (AI)']
Machine-Learning;Google Cloud Professional Machine Learning Engineer Cert Prep: 2 Architecting ML Solution;2023-06-09;1107;Learn about architecting machine learning solutions in preparation for the Google Professional Machine Learning Engineer certification exam.;['Google Cloud Platform (GCP)', 'Machine Learning', 'Solution Architecture']
Machine-Learning;Building Applications Using Amazon Bedrock;2024-03-19;1727;Find out how you can use Amazon Bedrock to build applications for the most typical Generative AI use cases.;['Amazon Bedrock', 'MLOps', 'Application Development']
Machine-Learning;Deep Learning: Getting Started;2021-11-17;54224;Learn the basics of deep learning and get up and running with this technology.;['Deep Learning', 'Machine Learning']
Machine-Learning;Executive Guide to Predictive Modeling Strategy at Scale;2018-12-11;49013;Scalability is one of the biggest challenges in data science. Learn how to evaluate data, choose the right algorithms, and perform predictive modeling at scale.;['Predictive Modeling', 'Machine Learning', 'Artificial Intelligence (AI)']
Machine-Learning;NLP with Python for Machine Learning Essential Training;2018-03-23;156799;Explore natural language processing (NLP) concepts, review advanced data cleaning and vectorization techniques, and learn how to build machine learning classifiers.;['Natural Language Processing (NLP)', 'Machine Learning', 'Python (Programming Language)']
Machine-Learning;Redis + AI: Building a Vector Database with Redis;2024-07-31;1902;This course shows developers how to exploit ready-made AI-related tools in Redis.;['Vector Databases', 'Artificial Intelligence (AI)', 'Redis', 'Database Design']
Machine-Learning;Machine Learning and AI Foundations: Value Estimations;2017-03-22;67542;Discover how to solve value estimation problems with machine learning. Learn how to build a value estimation system that can estimate the value of a home.;['Machine Learning', 'Artificial Intelligence (AI)']
Machine-Learning;Built-in Machine Learning in the Wolfram Language;2024-01-05;0;Learn about the built-in machine learning functions available in the Wolfram Language.;['Wolfram Language', 'Machine Learning']
Machine-Learning;Essentials of MLOps with Azure: 3 Spark MLflow Projects on Databricks;2022-09-09;1141;Explore exciting things you can do with MLflow projects, from the perspective of both Databricks and Azure.;['Databricks Products', 'MLOps', 'Microsoft Azure Machine Learning']
Machine-Learning;Machine Learning Foundations: Statistics;2023-10-18;10668;Learn how statistics can help you troubleshoot issues, optimize performance, and innovate, creating new machine learning models that are more efficient.;['Statistical Analysis', 'Machine Learning']
Machine-Learning;Machine Learning and AI Foundations: Decision Trees with SPSS;2017-03-03;99498;Establish a strong foundation in ML by exploring the IBM SPSS Modeler and learning about CHAID and C&RT. This course is designed to help expand your data science skills.;['Decision Trees', 'Machine Learning']
Machine-Learning;Google Cloud Platform for Machine Learning Essential Training;2024-02-26;1743;Learn how to design machine learning solutions with Google Cloud Platform.;['Google Cloud Platform (GCP)', 'Machine Learning']
Machine-Learning;Top 10 Skills for NLP Specialists;2023-04-27;3455;Explore 10 skills that you need to succeed as an NLP specialist.;['Natural Language Processing (NLP)', 'Machine Learning']
Machine-Learning;Azure AI Fundamentals (AI-900) Cert Prep: 2 Principles of Machine Learning on Azure;2022-07-21;5955;Explore the fundamental principles of machine learning on Azure to tackle the second domain of the Microsoft Azure AI Fundamentals (AI-900) certification exam.;['Machine Learning', 'Artificial Intelligence (AI)', 'Microsoft Azure']
