0;1;2;3;4;5
Natural-Language-Processing-nlp;Exploring Million-Token Models with Google Gemini Pro 1.5;2024-04-22;5123;Explore Google Gemini Pro 1.5's groundbreaking million-token capacity, reshaping the future of AI prompting and understanding.;['Google Gemini', 'Large Language Models (LLM)', 'Chatbot Development']
Natural-Language-Processing-nlp;NLP with Quanteda R;2023-03-21;0;<p>Find out how to use the R programming language to implement natural language processing (NLP) algorithms.</p>;['Natural Language Processing (NLP)', 'R (Programming Language)']
Natural-Language-Processing-nlp;Building Skills with Semantic Kernel;2023-04-17;7204;Level up your skills with Semantic Kernel, the new face of AI-powered development that helps integrate LLM AI capabilities into applications.;['Software Development', 'Large Language Models (LLM)', 'Generative AI', 'Artificial Intelligence (AI)']
Natural-Language-Processing-nlp;Building Secure and Trustworthy LLMs Using NVIDIA Guardrails;2024-09-13;0;Take a deep dive into the world of language large models (LLMs), and learn how to implement robust guardrails for secure, ethical AI use.;['Large Language Models (LLM)', 'Responsible AI']
Natural-Language-Processing-nlp;Azure AI Fundamentals (AI-900) Cert Prep: 4 Natural Language Processing (NLP) Workloads on Azure;2023-03-16;5404;Upskill and build the knowledge you need to pass the Azure AI Fundamentals Exam (AI-900).;['Natural Language Processing (NLP)', 'Microsoft Azure Machine Learning']
Natural-Language-Processing-nlp;Hands-On Generative AI: Applying Your Tabular Data With ChatGPT, GPT-4, and LangChain;2023-12-14;7991;Learn about the knowledge and skills to harness the potential of ChatGPT and other OpenAI models on tabular data.;['Business Analytics', 'LangChain', 'ChatGPT']
Natural-Language-Processing-nlp;TensorFlow: Working with NLP;2022-02-02;10110;Learn about using transformers in natural language processing with TensorFlow.;['Natural Language Processing (NLP)', 'TensorFlow']
Natural-Language-Processing-nlp;Advanced AI: NLP Techniques for Clinical Datasets;2022-11-03;5917;Learn how to apply natural language processing to clinical and biomedical data.;['Natural Language Processing (NLP)', 'Applied Machine Learning', 'Healthcare Analytics']
Natural-Language-Processing-nlp;The OWASP Top 10 for Large Language Model (LLM) Applications: An Overview;2024-03-27;2385;Learn about the top ten most common security vulnerabilities for large language models as outlined in the OWASP Top 10 for Large Language Models and how to prepare for them.;['Large Language Models (LLM)', 'Application Security', 'OWASP']
Natural-Language-Processing-nlp;Introduction to AI-Native Vector Databases;2023-12-14;4631;Learn how data and AI professionals can optimize data systems using AI.;['Vector Databases', 'Large Language Models (LLM)', 'Artificial Intelligence (AI)']
Natural-Language-Processing-nlp;Complete Guide to NLP with R;2024-08-01;1952;Find out how to use the R programming language to implement natural language processing (NLP) algorithms.;['Natural Language Processing (NLP)', 'R (Programming Language)']
Natural-Language-Processing-nlp;NLP with Python for Machine Learning Essential Training;2018-03-23;156799;Explore natural language processing (NLP) concepts, review advanced data cleaning and vectorization techniques, and learn how to build machine learning classifiers.;['Natural Language Processing (NLP)', 'Machine Learning', 'Python (Programming Language)']
