0;1;2;3;4;5
Neural-Networks-and-Deep-Learning;Building Computer Vision Applications with Python;2022-08-22;17213;Get a deeper understanding of computer vision by creating your own image processing applications in Python.;['Computer Vision', 'Python (Programming Language)']
Neural-Networks-and-Deep-Learning;Introduction to Attention-Based Neural Networks;2022-10-17;3268;Learn what attention-based models are, how they work, and what they can do for recurrent neural networks.;['Neural Networks']
Neural-Networks-and-Deep-Learning;Learning TensorFlow with JavaScript;2018-09-07;22611;Get introduced to TensorFlow and machine learning. Learn how you can leverage your JavaScript skills to create a machine learning project.;['TensorFlow', 'JavaScript']
Neural-Networks-and-Deep-Learning;PyTorch Essential Training: Deep Learning;2024-04-15;17735;Explore the basics of deep learning using PyTorch and test your knowledge with hands-on challenges.;['PyTorch', 'Deep Learning']
Neural-Networks-and-Deep-Learning;Azure AI Engineer Associate (AI-102) Cert Prep: Implement Computer Vision Solutions;2024-04-12;1172;Learn how to implement computer vision solutions in Azure AI and prepare for the Azure AI Engineer Associate (AI-102) exam.;['Microsoft Azure Machine Learning', 'Computer Vision', 'Artificial Intelligence (AI)']
Neural-Networks-and-Deep-Learning;Computer Vision for Data Scientists;2023-10-12;5806;Get a comprehensive introduction to computer vision and learn how to train models and neural networks for image classification.;['Deep Learning', 'Computer Vision']
Neural-Networks-and-Deep-Learning;OpenCV for Python Developers;2023-01-11;6836;Learn how to harness the image-processing power of OpenCV to develop Python scripts that manipulate photos, create custom video streams, and even perform object and face tracking.;['Computer Vision', 'Python (Programming Language)', 'OpenCV']
Neural-Networks-and-Deep-Learning;AI Show: Applied AI - Computer Vision and Optical Character Recognition (OCR);2023-03-15;2802;This course explores computer vision and optical character recognition. Follow along with a discussion about the details of practical OCR implementation.;['Optical Character Recognition (OCR)', 'Computer Vision', 'Artificial Intelligence (AI)']
Neural-Networks-and-Deep-Learning;Introduction to Multimodal Prompting for Generative AI;2024-06-26;2020;Learn how you can leverage modern AI systems that utilize multimodality.;['Multimodal Prompting', 'AI Prompting', 'Prompt Engineering', 'Generative AI']
Neural-Networks-and-Deep-Learning;AI Workshop: Hands-on with GANs Using Dense Neural Networks;2023-12-08;1611;Learn how to build and train generative adversarial networks (GANs) using dense neural networks in this interactive, workshop-style coding course.;['Generative Adversarial Networks (GANs)', 'Artificial Neural Networks']
Neural-Networks-and-Deep-Learning;Deep Learning: Model Optimization and Tuning;2022-02-01;17136;Learn about various optimization and tuning options available for deep learning models and use them to improve models.;['Deep Learning', 'Machine Learning']
Neural-Networks-and-Deep-Learning;Introduction to Deep Learning with OpenCV;2019-06-17;30540;Learn how to use OpenCV, the popular computer vision library, to run pretrained deep learning models.;['Deep Learning', 'Machine Learning', 'OpenCV']
Neural-Networks-and-Deep-Learning;Deep Learning: Image Recognition;2024-08-20;0;Learn how to design, build, and deploy a deep neural network to serve as an image recognition system.;['Image Recognition', 'Deep Learning', 'Computer Vision']
Neural-Networks-and-Deep-Learning;LinkedIn AI Academy AI-100: 2 Supervised Learning with Neural Networks;2023-05-04;7688;Get a foundational understanding of neural networks from two LinkedIn AI engineers.;['Supervised Learning', 'Artificial Intelligence (AI)', 'Artificial Neural Networks']
Neural-Networks-and-Deep-Learning;AI Show: Azure OpenAI in AI Builder;2024-01-17;0;On this episode of the AI Show, explore the possibilities of using the new powerful Azure OpenAI Service model in AI Builder.;['AI Builder', 'OpenAI Products', 'Microsoft Azure']
Neural-Networks-and-Deep-Learning;Multimodal Prompting with Google's Project Gemini;2023-12-21;17135;Explore the future of prompting, enterprise and AI development with Google’s family of next generation, multimodal artificial intelligence models: Gemini Nano, Pro, and Ultra.;['Google Gemini', 'Multimodal Prompting', 'AI Prompting', 'Prompt Engineering', 'Artificial Intelligence (AI)']
Neural-Networks-and-Deep-Learning;Deep Learning and Generative AI: Data Prep, Analysis, and Visualization with Python;2024-10-09;0;Learn the knowledge and practical skills needed to effectively utilize deep learning techniques using the Python programming language.;['Generative AI', 'Deep Learning', 'Python (Programming Language)']
Neural-Networks-and-Deep-Learning;Recurrent Neural Networks;2022-07-14;7338;Learn the basics of recurrent neural networks to get up and running with RNN quickly.;['Neural Networks']
Neural-Networks-and-Deep-Learning;AI Show: Next-Generation Computer Vision Capabilities with Project Florence;2024-02-01;0;Learn about Azure Cognitive Service for Vision and the next-generation computer vision capabilities with Project Florence.;['Computer Vision']
Neural-Networks-and-Deep-Learning;TensorFlow: Neural Networks and Working with Tables;2022-01-31;7445;Learn about neural networks and working with tabular data using TensorFlow.;['TensorFlow', 'Neural Networks']
Neural-Networks-and-Deep-Learning;AI Projects with Python, TensorFlow, and NLTK;2024-03-20;2913;Supercharge your technical know-how and start building AI projects using Python, TensorFlow, and NLTK.;['TensorFlow', 'Artificial Intelligence (AI)', 'NLTK', 'Python (Programming Language)']
Neural-Networks-and-Deep-Learning;TensorFlow: Working with NLP;2022-02-02;10110;Learn about using transformers in natural language processing with TensorFlow.;['Natural Language Processing (NLP)', 'TensorFlow']
Neural-Networks-and-Deep-Learning;OpenAI API: Vision;2024-01-30;1226;Learn how to use the vision API to create applications that see.;['OpenAI API', 'OpenAI Products', 'Computer Vision']
Neural-Networks-and-Deep-Learning;Azure AI Fundamentals (AI-900) Cert Prep: 3 Computer Vision Workloads on Azure;2022-05-04;5044;Learn the fundamental concepts of computer vision and prep for the Azure AI Fundamentals (AI-900) exam.;['Computer Vision', 'Microsoft Azure']
Neural-Networks-and-Deep-Learning;Advanced Graph Neural Networks;2024-08-02;0;Explore graph neural networks (GNNs) in depth to unlock new potential in data analysis and modeling.;['Graph Networks', 'Neural Networks']
Neural-Networks-and-Deep-Learning;Giving Computers Vision;2021-12-07;7574;Learn about computer vision, a popular field of artificial intelligence that enables technology like facial recognition and self-driving cars.;['Computer Vision', 'Development Tools', 'Software Development Tools']
Neural-Networks-and-Deep-Learning;Building Deep Learning Applications with Keras;2024-03-12;2038;Get a thorough introduction to Keras, a versatile deep learning framework, and learn how to build, deploy, and monitor robust deep learning models.;['Keras', 'Deep Learning', 'Application Development']
Neural-Networks-and-Deep-Learning;AI Workshop: Build a Neural Network with PyTorch Lightning;2023-12-08;2650;Learn how to build a neural network with PyTorch Lightning in this interactive, workshop-style coding course.;['PyTorch', 'Artificial Neural Networks']
Neural-Networks-and-Deep-Learning;Deep Learning: Getting Started;2021-11-17;54224;Learn the basics of deep learning and get up and running with this technology.;['Deep Learning', 'Machine Learning']
Neural-Networks-and-Deep-Learning;Deep Learning with TensorFlow: Insights and Innovations;2024-10-09;0;Explore the evolving world of deep learning with TensorFlow, including the basics of generative AI, with practical, hands-on examples.;['TensorFlow', 'Deep Learning']
Neural-Networks-and-Deep-Learning;Deep Learning Foundations: Natural Language Processing with TensorFlow;2021-04-19;25984;Learn foundational deep learning techniques to classify, predict, and generate text using different neural networks.;['Natural Language Processing (NLP)', 'TensorFlow', 'Deep Learning']
Neural-Networks-and-Deep-Learning;Training Neural Networks in C++;2023-07-28;2493;Learn about the components of a neural network, as well as how to build and train one in C++.;['Neural Networks', 'C++']
Neural-Networks-and-Deep-Learning;Build an Image Captioning Tool for Visually Impaired Users with Gemini;2024-05-29;0;Find out how artificial intelligence can help you make better web experiences for visually impaired users.;['Google Gemini', 'Digital Accessibility', 'Computer Vision']
Neural-Networks-and-Deep-Learning;TensorFlow 2.0: Working with Images;2022-02-01;4980;Learn the ins and outs of working with images in TensorFlow 2.0;['TensorFlow', 'Deep Learning']
Neural-Networks-and-Deep-Learning;Training Neural Networks in Python;2022-11-09;15906;Take a deep dive into the inner workings of neural networks by learning how to create one from scratch in Python.;['Neural Networks', 'Python (Programming Language)']
Neural-Networks-and-Deep-Learning;Full-Stack Deep Learning with Python;2024-02-06;3189;Increase your knowledge and get a hands-on understanding of full-stack deep learning with Python.;['Deep Learning', 'Python (Programming Language)']
Neural-Networks-and-Deep-Learning;Neural Networks and Convolutional Neural Networks Essential Training;2018-05-04;58486;Take a deep dive into neural networks and convolutional neural networks, two key concepts in the area of machine learning.;['Neural Networks']
Neural-Networks-and-Deep-Learning;Building Blocks for Deep Learning in the Wolfram Language;2024-01-02;0;Learn how to construct neural networks in the Wolfram Language.;['Wolfram Language', 'Deep Learning']
Neural-Networks-and-Deep-Learning;AI Workshop: Hands-on with GANs with Deep Convolutional Networks;2024-01-05;1566;Learn how to build and train deep convolutional generative adversarial networks (GANs) in this interactive, workshop-style coding course.;['Generative Adversarial Networks (GANs)', 'Convolutional Neural Networks (CNN)']
Neural-Networks-and-Deep-Learning;Building and Deploying Deep Learning Applications with TensorFlow;2017-08-02;72767;Discover how to install TensorFlow and use it to create, train, and deploy a machine learning model.;['TensorFlow', 'Deep Learning']
Neural-Networks-and-Deep-Learning;Artificial Intelligence Foundations: Neural Networks;2023-09-18;39223;Learn the fundamental techniques and principles behind artificial neural networks.;['Neural Networks', 'Machine Learning']
Neural-Networks-and-Deep-Learning;Microsoft Power Apps: AI Builder;2020-07-14;14661;Learn how to use the AI Builder in Microsoft Power Apps to add AI capabilities to your apps and key processes—no programming experience required.;['AI Builder', 'Artificial Intelligence for Business', 'Microsoft Power Apps', 'Artificial Intelligence (AI)']
Neural-Networks-and-Deep-Learning;Apache Spark Deep Learning Essential Training;2019-07-01;11645;Learn how to do deep learning with images on Apache Spark, using the Databricks deep learning library and Python.;['Deep Learning', 'Apache Spark']
Neural-Networks-and-Deep-Learning;Computer Vision on the Raspberry Pi 4;2021-10-28;8562;Find out how to write and execute computer vision applications on the Raspberry Pi 4.;['Raspberry Pi', 'Computer Vision']
Neural-Networks-and-Deep-Learning;Learning Graph Neural Networks;2024-07-29;0;Learn about the use cases of graph modeling and find out how to train graph neural networks and evaluate its results.;['Graph Networks', 'Neural Networks']
