0;1;2;3;4;5
Tech-Career-Skills;Cybersecurity Careers: Become a Security Auditor;2023-02-03;15378;Get a broad overview of the security auditor job role: what opportunities exist and what knowledge and qualifications you’ll need to step into those opportunities.;['Tech Career Skills', 'Career Path Planning', 'Cybersecurity']
Tech-Career-Skills;Building Your Cybersecurity Talent Pipeline;2022-06-28;4642;Learn how to start solving for the cybersecurity skills gap by preparing the next generation of cybersecurity leaders.;['Talent Management', 'Tech Career Skills', 'Cybersecurity']
Tech-Career-Skills;Nail Your Cybersecurity Interview;2019-10-09;13979;Ace your next cybersecurity interview. Learn what to do before, during, and after your interview to significantly increase your chances of landing the job.;['Interview Preparation', 'Tech Career Skills', 'Career Management']
Tech-Career-Skills;Cybersecurity Careers: Become a Chief Information Security Officer (CISO);2022-09-29;30369;This course provides aspiring chief information security officers (CISOs) with an overview of what it takes to get hired into this unique and fast-growing position.;['Tech Career Skills', 'Cybersecurity', 'Career Development']
Tech-Career-Skills;Technology and Data Careers in Government;2017-12-06;18884;Today, some of the most exciting and in-demand IT jobs are working for cities. Find out how to prepare for an IT career in city government.;['Tech Career Skills', 'Career Management']
Tech-Career-Skills;Women Transforming Tech: Career Insights;2020-09-30;7844;Get authentic advice for breaking into—and staying ahead in—the tech industry. Discover how to develop a growth mindset, find your superpower, and more.;"['Tech Career Skills', ""Women's Leadership""]"
Tech-Career-Skills;Preparing to Get a Job in Data Analytics;2023-02-16;36985;This course offers a friendly guide to landing a job in the in-demand field of data analytics, including how to upskill, maximize LinkedIn, and build a tailored portfolio.;['Interview Preparation', 'Tech Career Skills', 'Analytics']
Tech-Career-Skills;Attracting Cybersecurity Talent: Hiring and Retaining Talent;2022-04-29;6275;Rethink the way you build cybersecurity teams to start winning the war against cybercrime.;['Tech Career Skills', 'Cybersecurity']
Tech-Career-Skills;Cybersecurity Careers and Certifications;2023-01-06;40002;Interested in finding a cybersecurity job? Join expert Marc Menninger to find out how to launch a successful career in cybersecurity.;['Tech Career Skills', 'Career Management', 'Cybersecurity']
Tech-Career-Skills;Land Your First Cybersecurity Job;2022-05-25;12746;Discover opportunities and practical strategies for career changers looking to land a new role as a cybersecurity professional.;['Tech Career Skills', 'Career Management', 'Cybersecurity']
Tech-Career-Skills;Women Transforming Tech: Tips for Career Success;2020-10-01;7807;Hear leading women in tech provide advice on today's career challenges: succeeding as an introvert, finding a mentor, the importance of self-care, and more.;['Tech Career Skills', 'Career Management']
Tech-Career-Skills;Future Proofing Your Data Science Career;2020-04-30;5676;Learn what the future holds for data science professionals and the skills you need for a successful and sustainable career.;['Tech Career Skills', 'Data Science']
Tech-Career-Skills;Building Your Technology Skills;2016-03-16;79303;Build your technology skills, one tutorial at a time, and discover tips targeted at busy IT professionals.;['Computer Literacy', 'Tech Career Skills']
Tech-Career-Skills;Inclusive Tech: Leadership and Management;2020-10-22;6696;Make strides towards building and leading an inclusive tech team. Learn about essential inclusive leadership principles and how to act on them in your own organization.;['Tech Career Skills', 'Technology Leadership', 'Diversity & Inclusion']
Tech-Career-Skills;Cloud Careers: From Developer to Architect;2023-03-16;1921;Discover opportunities to make a successful career transition from developer to cloud architect.;['Tech Career Skills', 'Career Path Planning', 'Cloud Computing']
Tech-Career-Skills;Technical Recruiting;2016-09-17;163190;Technical recruiters focus on finding top technical talent to meet the ever-growing demand by employers worldwide. Find out what it takes to succeed in this recruiting profession.;['Technical Recruiting']
Tech-Career-Skills;Mastering Web Developer Interview Code;2021-01-08;8229;In this course, senior staff instructor Ray Villalobos explores front-end and full-stack coding concepts that every developer should have in their toolkit.;['Interview Preparation', 'Tech Career Skills']
Tech-Career-Skills;Defining Your Data Career Path;2022-12-09;9228;Find out what your options are for data career paths and what you would need to do to pursue them.;['Tech Career Skills', 'Data Science', 'Career Management']
Tech-Career-Skills;Accelerate Your Developer Career;2021-09-09;8350;Learn how honing skills such as emotional intelligence and cross-functional collaboration can help you increase your value as a software developer.;['Tech Career Skills', 'Career Management']
